Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1721031659,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721031660,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721031661,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721031662,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721031663,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721031664,6,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721031665,8,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1721031666,10,,Aggregated,0.000000,0.000000,110,110,280,280,280,280,280,280,280,280,280,4,0,72,131.57716000023356,65.31065600029251,276.60273000037705,283.25
1721031667,12,,Aggregated,0.000000,0.000000,110,110,130,130,280,280,280,280,280,280,280,6,0,72,121.24479566682567,65.31065600029251,276.60273000037705,252.83333333333334
1721031668,14,,Aggregated,0.000000,0.000000,110,110,130,130,280,280,280,280,280,280,280,6,0,72,121.24479566682567,65.31065600029251,276.60273000037705,252.83333333333334
1721031669,16,,Aggregated,1.200000,0.000000,110,130,130,130,280,280,280,280,280,280,280,8,0,72,115.05535762512409,65.31065600029251,276.60273000037705,251.375
1721031670,18,,Aggregated,1.000000,0.000000,110,130,140,150,280,370,370,370,370,370,370,17,0,110.0,124.43557935308918,54.33426799936569,369.4079619999684,8814.823529411764
1721031671,20,,Aggregated,1.000000,0.000000,110,130,140,150,280,370,370,370,370,370,370,17,0,110.0,124.43557935308918,54.33426799936569,369.4079619999684,8814.823529411764
1721031672,22,,Aggregated,2.125000,0.000000,73,130,130,150,280,320,370,370,370,370,370,25,0,73,119.03408288009814,54.33426799936569,369.4079619999684,9325.84
1721031673,24,,Aggregated,2.888889,0.000000,93,130,180,280,370,400,580,580,580,580,580,43,0,93,150.62750148840573,54.33426799936569,576.6296130004775,9780.093023255815
1721031674,26,,Aggregated,2.888889,0.000000,93,130,180,280,370,400,580,580,580,580,580,43,0,93,150.62750148840573,54.33426799936569,576.6296130004775,9780.093023255815
1721031675,28,,Aggregated,4.400000,0.000000,74,120,150,240,380,470,550,580,580,580,580,68,0,73,147.00147216185275,45.77317400071479,576.6296130004775,8606.235294117647
1721031676,30,,Aggregated,4.400000,0.000000,74,110,140,180,370,470,550,580,580,580,580,92,0,73,141.03978754353548,44.07272599928547,576.6296130004775,8454.91304347826
1721031677,32,,Aggregated,4.400000,0.000000,74,110,140,180,370,470,550,580,580,580,580,92,0,73,141.03978754353548,44.07272599928547,576.6296130004775,8454.91304347826
1721031678,34,,Aggregated,8.300000,0.000000,71,100,130,140,350,460,510,550,580,580,580,112,0,71,133.18604577685684,43.203699999139644,576.6296130004775,7672.928571428572
1721031679,36,,Aggregated,10.200000,0.000000,70,99,120,140,330,410,510,550,580,580,580,146,0,70,125.68303201376145,43.203699999139644,576.6296130004775,7353.3493150684935
1721031680,38,,Aggregated,10.200000,0.000000,70,99,120,140,330,410,510,550,580,580,580,146,0,70,125.68303201376145,43.203699999139644,576.6296130004775,7353.3493150684935
1721031681,40,,Aggregated,13.500000,0.000000,70,99,110,140,330,410,490,550,580,580,580,159,0,70,123.68137196861414,43.203699999139644,576.6296130004775,7500.320754716981
1721031682,42,,Aggregated,13.500000,0.000000,70,99,110,140,350,410,490,550,580,580,580,220,0,70,127.82229105458265,42.617847000656184,576.6296130004775,7586.486363636363
1721031683,44,,Aggregated,13.500000,0.000000,70,99,110,140,350,410,490,550,580,580,580,220,0,70,127.82229105458265,42.617847000656184,576.6296130004775,7586.486363636363
1721031684,46,,Aggregated,19.400000,0.000000,69,99,110,140,350,450,490,560,650,650,650,276,0,69,127.55564739499265,42.617847000656184,651.3254639994557,12186.409420289856
1721031685,48,,Aggregated,21.900000,0.000000,67,95,110,140,340,420,490,560,860,860,860,331,0,67,125.61483378253371,42.543138000837644,855.349749999732,11034.586102719033
1721031686,49,,Aggregated,21.900000,0.000000,67,95,110,140,340,420,490,560,860,860,860,331,0,67,125.61483378253371,42.543138000837644,855.349749999732,11034.586102719033
1721031687,52,,Aggregated,26.400000,0.000000,67,91,110,150,350,430,500,580,860,860,860,412,0,67,128.72796433258523,42.543138000837644,855.349749999732,10270.211165048544
1721031688,54,,Aggregated,29.400000,0.000000,67,91,110,160,350,420,500,580,860,860,860,482,0,67,129.0214174108301,42.543138000837644,855.349749999732,9988.848547717842
1721031689,56,,Aggregated,29.400000,0.000000,67,91,110,160,350,420,500,580,860,860,860,482,0,67,129.0214174108301,42.543138000837644,855.349749999732,9988.848547717842
1721031690,58,,Aggregated,37.000000,0.000000,66,91,120,180,350,420,510,580,1200,1200,1200,573,0,66,131.39968759340448,42.543138000837644,1189.1642670016154,11315.844677137871
1721031691,60,,Aggregated,40.600000,0.000000,66,87,120,160,350,420,510,600,1200,1200,1200,658,0,66,129.89057338452042,41.29750299944135,1189.1642670016154,10978.794832826748
1721031692,62,,Aggregated,40.600000,0.000000,66,87,120,160,350,420,510,600,1200,1200,1200,658,0,66,129.89057338452042,41.29750299944135,1189.1642670016154,10978.794832826748
1721031693,64,,Aggregated,48.000000,0.000000,66,87,120,160,350,410,510,590,1200,1200,1200,742,0,66,129.75754836525746,40.33711199917889,1189.1642670016154,10998.785714285714
1721031694,66,,Aggregated,48.400000,0.000000,65,86,110,160,350,410,500,590,1200,1200,1200,802,0,65,128.57985652994682,40.33711199917889,1189.1642670016154,10919.829177057356
1721031695,68,,Aggregated,48.400000,0.000000,65,86,110,160,350,410,500,590,1200,1200,1200,802,0,65,128.57985652994682,40.33711199917889,1189.1642670016154,10919.829177057356
1721031696,70,,Aggregated,49.600000,0.000000,65,85,120,170,350,410,510,590,1200,1200,1200,927,0,65,129.17106115752057,40.33711199917889,1189.1642670016154,10977.787486515643
1721031697,72,,Aggregated,52.100000,0.000000,66,85,120,170,350,420,500,590,1200,1200,1200,1000,0,66,129.06714591102718,40.33711199917889,1189.1642670016154,10890.971
1721031698,74,,Aggregated,52.100000,0.000000,66,85,120,170,350,420,500,590,1200,1200,1200,1000,0,66,129.06714591102718,40.33711199917889,1189.1642670016154,10890.971
1721031699,76,,Aggregated,58.500000,0.000000,66,89,130,210,370,430,500,590,1000,1200,1200,1197,0,66,133.42975735091537,40.33711199917889,1189.1642670016154,13286.46783625731
1721031700,78,,Aggregated,60.300000,0.000000,66,89,120,210,370,430,530,600,1200,1300,1300,1322,0,66,133.7667148865639,40.33711199917889,1293.6705390002317,13142.145990922843
1721031701,80,,Aggregated,60.300000,0.000000,66,89,120,210,370,430,530,600,1200,1300,1300,1322,0,66,133.7667148865639,40.33711199917889,1293.6705390002317,13142.145990922843
1721031702,82,,Aggregated,71.600000,0.000000,66,86,120,180,360,420,520,610,1200,1300,1300,1466,0,66,131.06172305596016,40.33711199917889,1293.6705390002317,12554.474761255116
1721031703,84,,Aggregated,74.900000,0.000000,65,85,120,170,360,420,540,640,1200,1300,1300,1588,0,65,129.47029806866533,40.33711199917889,1293.6705390002317,12182.559823677582
1721031704,86,,Aggregated,74.900000,0.000000,65,85,120,170,360,420,540,640,1200,1300,1300,1588,0,65,129.47029806866533,40.33711199917889,1293.6705390002317,12182.559823677582
1721031705,88,,Aggregated,84.000000,0.000000,65,84,110,150,360,430,530,610,1200,1300,1300,1719,0,65,128.3810377289328,40.33711199917889,1293.6705390002317,11977.306573589296
1721031706,90,,Aggregated,88.400000,0.000000,65,84,110,160,360,420,530,640,1200,1300,1300,1783,0,65,128.91526059676866,39.9750659998972,1293.6705390002317,12148.429052159283
1721031707,92,,Aggregated,88.700000,0.000000,65,84,120,160,360,420,530,610,1200,1300,1300,1819,0,65,128.54510052173563,39.9750659998972,1293.6705390002317,12294.883452446398
1721031708,94,,Aggregated,89.500000,0.000000,64,84,110,150,360,420,520,610,1200,1300,1300,1969,0,64,127.76411902845602,39.9750659998972,1293.6705390002317,12040.124428643981
1721031709,96,,Aggregated,89.400000,0.000000,64,84,110,150,360,420,510,600,1000,1300,1300,2051,0,64,127.47437290591242,39.9750659998972,1293.6705390002317,11892.531935641151
1721031711,98,,Aggregated,87.800000,0.000000,64,84,110,150,360,420,510,600,1000,1300,1300,2077,0,64,127.30517542658752,39.9750659998972,1293.6705390002317,11847.336061627348
1721031712,100,,Aggregated,0.000000,0.000000,110,110,110,110,110,110,110,110,110,110,110,2,0,42.4884000003658,76.76233550046163,42.4884000003658,111.03627100055746,707.0
1721031713,100,,Aggregated,0.000000,0.000000,72,83,140,240,370,470,490,490,490,490,490,24,0,69,131.0091497916801,42.4884000003658,493.2052179992752,7001.5
1721031714,100,,Aggregated,0.000000,0.000000,73,120,210,260,420,450,490,510,510,510,510,69,1,73,150.77592571016294,41.0201060003601,508.2378280003468,10340.130434782608
1721031715,100,,Aggregated,13.000000,0.000000,67,95,140,230,390,450,560,600,1600,1600,1600,290,1,67,140.9658118724361,40.245526000944665,1621.9828030007193,13713.520689655172
1721031716,100,,Aggregated,97.500000,0.000000,66,90,140,220,380,440,510,590,1600,1600,1600,375,1,66,135.43003320803595,39.60122599892202,1621.9828030007193,12677.437333333333
1721031717,100,,Aggregated,105.000000,0.333333,65,89,140,220,380,440,500,570,1600,1600,1600,451,1,65,134.51428482484235,39.60122599892202,1621.9828030007193,13420.875831485588
1721031718,100,,Aggregated,113.500000,0.250000,64,88,140,220,390,450,510,600,1600,1600,1600,667,1,64,135.68549078108285,39.60122599892202,1621.9828030007193,14495.182908545727
1721031719,100,,Aggregated,113.400000,0.200000,64,80,130,210,380,440,500,590,1600,1600,1600,760,1,63,132.1312546447045,39.60122599892202,1621.9828030007193,14200.493421052632
1721031720,100,,Aggregated,120.000000,0.166667,63,79,130,210,380,440,510,590,1600,1600,1600,813,1,63,131.61687404547493,39.60122599892202,1621.9828030007193,13982.485854858549
1721031721,100,,Aggregated,118.857143,0.142857,62,76,130,190,370,420,490,580,820,1600,1600,1051,1,62,128.1951993168038,39.07412699845736,1621.9828030007193,13721.057088487156
1721031722,100,,Aggregated,117.875000,0.125000,62,76,130,180,370,420,490,580,820,1600,1600,1140,1,61,127.39391022628539,39.07412699845736,1621.9828030007193,13792.305263157894
1721031723,100,,Aggregated,117.333333,0.111111,61,76,120,170,370,420,490,590,860,1600,1600,1182,1,61,126.64520624446892,39.07412699845736,1621.9828030007193,13656.263959390863
