Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feedservice/feeds/{user_id},10695,56,35000.0,43333.39627913463,31224.68344400113,134661.94380900197,585268.9821411874,9.719884957029926,0.05089420828365365,35000,35000,36000,64000,67000,96000,101000,129000,133000,135000,135000
GET,/notificationservice/notifications,4233,0,88,99.04317242686508,56.58990600204561,1066.626140000153,809.3071107961257,3.847056851155463,0.0,88,95,100,110,120,140,220,320,910,1100,1100
POST,/notificationservice/notifications/count,4260,0,89,98.50216411246492,51.80978900170885,949.9400109998533,1.253286384976526,3.8715951301493674,0.0,89,96,100,110,120,150,220,290,610,950,950
POST,/notificationservice/notifications/{id},2816,0,68,89.37792319245959,39.67769299924839,822.4356299979263,90.50142045454545,2.559251616549441,0.0,68,80,90,98,130,210,390,480,750,820,820
GET,/postservice/categories,3786,0,2500.0,2716.9907422662486,546.2507800002641,9800.01112500031,4801259.174854728,3.440812010034156,0.0,2500,2900,3200,3500,4200,5100,6300,7200,9400,9800,9800
GET,/postservice/posts,2506,0,100,128.50016047958394,43.5876690025907,931.8059870020079,29129.719872306465,2.277515820693501,0.0,100,150,180,190,220,270,340,440,820,930,930
POST,/postservice/posts,1837,0,140.0,171.62712906636833,60.551241997018224,1166.3450570013083,588.3162765378335,1.6695117967334243,0.0,140,170,190,200,280,410,500,620,1100,1200,1200
GET,/postservice/posts/{id},1911,0,52,61.24851371897368,39.3567510000139,705.8831710019149,726.5039246467818,1.7367648576796808,0.0,52,57,61,64,75,94,150,260,700,710,710
POST,/postservice/posts/{id}/comments,1860,0,89,105.67489511719735,55.15023800035124,1557.6313239980664,5504.479569892473,1.690414775135639,0.0,89,99,110,120,150,200,280,370,1500,1600,1600
GET,/postservice/posts/{id}/image,1919,0,120.0,156.53448552112184,42.24466199957533,1419.649171999481,126400.76654507556,1.74403545886306,0.0,120,160,190,220,310,390,530,660,1300,1400,1400
POST,/postservice/posts/{id}/like,9591,0,75,89.77162417255037,43.31343699959689,1594.1904770006659,5640.149306641643,8.716541993723611,0.0,75,84,92,99,130,170,240,310,730,1600,1600
POST,/userservice/users,2354,0,64,78.03229972006126,41.938968999602366,1021.5053080028156,127.9214103653356,2.139374398209298,0.0,64,72,78,83,110,150,250,360,700,1000,1000
POST,/userservice/users/search,5416,0,66,111.77464952420408,44.6411890006857,1346.2630169997283,31287.281573116692,4.922197001147646,0.0,66,85,140,180,240,290,370,460,970,1300,1300
GET,/userservice/users/{id},2343,0,55,64.56171256679468,41.11471900250763,545.7083750006859,1323.4246692274862,2.129377321582152,0.0,55,60,64,68,83,110,170,240,470,550,550
PUT,/userservice/users/{id},2352,0,71,85.88323956464406,44.17287300020689,1117.6018080004724,1023.0663265306123,2.1375567479134534,0.0,71,79,86,91,120,160,260,380,790,1100,1100
PUT,/userservice/users/{id}/follow,19032,0,76,89.35285073922948,44.47989199979929,930.1806100011163,1421.0753993274484,17.296760215258864,0.0,76,84,91,97,120,160,250,320,550,890,930
GET,/userservice/users/{id}/followers,2450,0,210.0,232.03124309142453,119.05760899753659,920.5565720003506,22759.786530612244,2.2266216124098475,0.0,210,240,260,270,320,360,470,580,790,920,920
,Aggregated,79361,56,87,6052.7389188837,39.3567510000139,134661.94380900197,316038.5666889278,72.12527256426853,0.05089420828365365,87,120,200,320,34000,35000,66000,68000,130000,134000,135000
