"Time","Value"
2024-07-15 14:07:45,116 W
2024-07-15 14:07:50,107 W
2024-07-15 14:07:55,142 W
2024-07-15 14:08:00,139 W
2024-07-15 14:08:05,259 W
2024-07-15 14:08:10,199 W
2024-07-15 14:08:15,204 W
2024-07-15 14:08:20,159 W
2024-07-15 14:08:25,207 W
2024-07-15 14:08:30,203 W
2024-07-15 14:08:35,236 W
2024-07-15 14:08:40,213 W
2024-07-15 14:08:45,263 W
2024-07-15 14:08:50,225 W
2024-07-15 14:08:55,266 W
2024-07-15 14:09:00,187 W
2024-07-15 14:09:05,233 W
2024-07-15 14:09:10,250 W
2024-07-15 14:09:15,257 W
2024-07-15 14:09:20,189 W
2024-07-15 14:09:25,227 W
2024-07-15 14:09:30,231 W
2024-07-15 14:09:35,253 W
2024-07-15 14:09:40,257 W
2024-07-15 14:09:45,169 W
2024-07-15 14:09:50,242 W
2024-07-15 14:09:55,256 W
2024-07-15 14:10:00,201 W
2024-07-15 14:10:05,261 W
2024-07-15 14:10:10,212 W
2024-07-15 14:10:15,267 W
2024-07-15 14:10:20,258 W
2024-07-15 14:10:25,241 W
2024-07-15 14:10:30,235 W
2024-07-15 14:10:35,271 W
2024-07-15 14:10:40,289 W
2024-07-15 14:10:45,250 W
2024-07-15 14:10:50,221 W
2024-07-15 14:10:55,272 W
2024-07-15 14:11:00,183 W
2024-07-15 14:11:05,242 W
2024-07-15 14:11:10,231 W
2024-07-15 14:11:15,229 W
2024-07-15 14:11:20,226 W
2024-07-15 14:11:25,222 W
2024-07-15 14:11:30,254 W
2024-07-15 14:11:35,286 W
2024-07-15 14:11:40,290 W
2024-07-15 14:11:45,248 W
2024-07-15 14:11:50,239 W
2024-07-15 14:11:55,140 W
2024-07-15 14:12:00,254 W
2024-07-15 14:12:05,240 W
2024-07-15 14:12:10,227 W
2024-07-15 14:12:15,256 W
2024-07-15 14:12:20,265 W
2024-07-15 14:12:25,255 W
2024-07-15 14:12:30,254 W
2024-07-15 14:12:35,274 W
2024-07-15 14:12:40,249 W
2024-07-15 14:12:45,257 W
2024-07-15 14:12:50,247 W
2024-07-15 14:12:55,231 W
2024-07-15 14:13:00,190 W
2024-07-15 14:13:05,250 W
2024-07-15 14:13:10,265 W
2024-07-15 14:13:15,244 W
2024-07-15 14:13:20,244 W
2024-07-15 14:13:25,261 W
2024-07-15 14:13:30,282 W
2024-07-15 14:13:35,228 W
2024-07-15 14:13:40,263 W
2024-07-15 14:13:45,271 W
2024-07-15 14:13:50,261 W
2024-07-15 14:13:55,303 W
2024-07-15 14:14:00,270 W
2024-07-15 14:14:05,213 W
2024-07-15 14:14:10,229 W
2024-07-15 14:14:15,228 W
2024-07-15 14:14:20,207 W
2024-07-15 14:14:25,200 W
2024-07-15 14:14:30,259 W
2024-07-15 14:14:35,254 W
2024-07-15 14:14:40,220 W
2024-07-15 14:14:45,252 W
2024-07-15 14:14:50,230 W
2024-07-15 14:14:55,212 W
