"Time","{application=""FEEDSERVICE"", method=""GET"", uri=""/feeds/{userId}""}","{application=""GATEWAY"", method=""GET"", uri=""UNKNOWN""}","{application=""GATEWAY"", method=""POST"", uri=""UNKNOWN""}","{application=""GATEWAY"", method=""PUT"", uri=""NOT_FOUND""}","{application=""GATEWAY"", method=""PUT"", uri=""UNKNOWN""}","{application=""NOTIFICATIONSERVICE"", method=""GET"", uri=""/notifications""}","{application=""NOTIFICATIONSERVICE"", method=""POST"", uri=""/notifications/count""}","{application=""NOTIFICATIONSERVICE"", method=""POST"", uri=""/notifications/{id}""}","{application=""POSTSERVICE"", method=""GET"", uri=""/categories""}","{application=""POSTSERVICE"", method=""GET"", uri=""/posts""}","{application=""POSTSERVICE"", method=""GET"", uri=""/posts/{id}""}","{application=""POSTSERVICE"", method=""GET"", uri=""/posts/{id}/image""}","{application=""POSTSERVICE"", method=""POST"", uri=""/posts""}","{application=""POSTSERVICE"", method=""POST"", uri=""/posts/{id}/comments""}","{application=""POSTSERVICE"", method=""POST"", uri=""/posts/{id}/like""}","{application=""STATISTICSERVICE"", method=""GET"", uri=""/trends/categories""}","{application=""STATISTICSERVICE"", method=""GET"", uri=""/trends/posts""}","{application=""STATISTICSERVICE"", method=""GET"", uri=""/trends/users""}","{application=""USERSERVICE"", method=""GET"", uri=""/users/{id}""}","{application=""USERSERVICE"", method=""GET"", uri=""/users/{id}/followers""}","{application=""USERSERVICE"", method=""POST"", uri=""/users""}","{application=""USERSERVICE"", method=""POST"", uri=""/users/search""}","{application=""USERSERVICE"", method=""PUT"", uri=""/users/{id}""}","{application=""USERSERVICE"", method=""PUT"", uri=""/users/{id}/follow""}"
2024-07-31 16:39:30,91.0 ms,179 ms,45.3 ms,,37.6 ms,9.28 ms,7.31 ms,,5.28 ms,7.84 ms,12.7 ms,32.8 ms,88.7 ms,62.4 ms,30.2 ms,NaN,NaN,NaN,8.02 ms,12.0 ms,23.1 ms,8.35 ms,20.6 ms,23.8 ms
2024-07-31 16:39:35,91.0 ms,179 ms,45.3 ms,,37.6 ms,9.28 ms,7.31 ms,,5.28 ms,7.84 ms,12.7 ms,32.8 ms,89.8 ms,62.4 ms,27.6 ms,NaN,NaN,NaN,8.02 ms,12.0 ms,23.2 ms,8.35 ms,20.6 ms,23.8 ms
2024-07-31 16:39:40,89.7 ms,188 ms,46.7 ms,,37.3 ms,9.28 ms,7.31 ms,,5.28 ms,7.84 ms,12.7 ms,32.8 ms,90.1 ms,62.4 ms,27.6 ms,NaN,NaN,NaN,7.85 ms,12.0 ms,23.5 ms,8.37 ms,20.1 ms,24.3 ms
2024-07-31 16:39:45,91.0 ms,180 ms,45.3 ms,,37.6 ms,9.28 ms,7.31 ms,,5.28 ms,7.84 ms,12.7 ms,32.8 ms,87.9 ms,62.4 ms,27.8 ms,NaN,NaN,NaN,8.01 ms,12.0 ms,23.2 ms,8.35 ms,20.6 ms,23.8 ms
2024-07-31 16:39:50,91.0 ms,180 ms,45.4 ms,,37.6 ms,9.28 ms,7.31 ms,,5.28 ms,7.84 ms,12.7 ms,32.8 ms,94.0 ms,62.4 ms,27.4 ms,NaN,NaN,NaN,8.01 ms,12.0 ms,23.2 ms,8.35 ms,20.6 ms,23.8 ms
2024-07-31 16:39:55,89.9 ms,188 ms,46.6 ms,,37.4 ms,9.28 ms,7.31 ms,,5.28 ms,7.84 ms,12.7 ms,32.8 ms,94.1 ms,62.4 ms,27.4 ms,NaN,NaN,NaN,7.87 ms,12.0 ms,23.4 ms,8.37 ms,20.2 ms,24.2 ms
2024-07-31 16:40:00,90.9 ms,179 ms,53.2 ms,,37.6 ms,9.28 ms,7.31 ms,,5.28 ms,7.78 ms,12.7 ms,32.8 ms,92.2 ms,62.4 ms,27.5 ms,NaN,NaN,NaN,8.01 ms,12.0 ms,23.2 ms,8.35 ms,20.6 ms,23.8 ms
2024-07-31 16:40:05,90.9 ms,179 ms,53.3 ms,,37.5 ms,9.28 ms,6.88 ms,,7.53 ms,13.4 ms,10.9 ms,24.9 ms,84.6 ms,57.2 ms,29.8 ms,17.6 ms,20.1 ms,NaN,8.01 ms,12.0 ms,23.2 ms,8.35 ms,20.6 ms,23.8 ms
2024-07-31 16:40:10,116 ms,127 ms,54.8 ms,,33.1 ms,9.28 ms,6.88 ms,,7.53 ms,13.4 ms,10.9 ms,24.9 ms,84.8 ms,57.2 ms,29.8 ms,17.6 ms,20.1 ms,21.9 ms,8.48 ms,12.2 ms,22.0 ms,11.5 ms,27.9 ms,22.2 ms
2024-07-31 16:40:15,93.0 ms,101 ms,47.5 ms,,24.5 ms,8.60 ms,6.51 ms,,7.40 ms,12.3 ms,11.0 ms,19.8 ms,74.6 ms,42.3 ms,28.5 ms,17.6 ms,20.1 ms,21.9 ms,8.47 ms,11.1 ms,22.2 ms,9.85 ms,23.3 ms,19.4 ms
