Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feedservice/feeds/{user_id},32832,0,8800.0,8983.986795334507,588.414680999449,20500.965810999332,955041.5374634503,29.824924957454613,0.0,8800,9800,10000,11000,12000,13000,14000,15000,17000,19000,21000
GET,/notificationservice/notifications,13718,0,100.0,130.48144140326883,57.05519599996478,1055.121667000094,512.2545560577344,12.461571654677217,0.0,100,110,120,140,190,270,480,520,790,1000,1100
POST,/notificationservice/notifications/count,13686,0,100.0,127.07769397179558,49.37511200023437,1136.1945899998318,1.1668128014028936,12.432502527038372,0.0,100,110,120,130,180,250,480,510,790,1100,1100
POST,/notificationservice/notifications/{id},8156,0,100.0,134.5935848251554,50.07568699966214,994.8537840000427,88.59416380578715,7.40899390695053,0.0,100,120,140,150,220,350,490,540,830,990,990
GET,/postservice/categories,11963,0,84,108.62470809713705,42.31856800015521,1311.920359999931,644.0,10.86731168573433,0.0,84,89,94,100,160,310,470,500,790,1100,1300
GET,/postservice/posts,8148,0,400.0,411.42717906136,57.23396299981687,2790.5511939998178,31862.733554246443,7.401726625040819,0.0,400,510,590,640,800,980,1200,1400,1900,2800,2800
POST,/postservice/posts,6064,0,170.0,228.82373984878132,69.31873899975471,1466.4030800004184,588.7438984168865,5.508599687561062,0.0,170,210,250,300,430,550,700,830,1300,1500,1500
GET,/postservice/posts/{id},5914,0,84,108.02474779050065,41.82789900005446,864.7079530001065,759.8285424416639,5.372338151753977,0.0,84,89,94,100,150,250,470,510,800,860,860
POST,/postservice/posts/{id}/comments,5956,0,140.0,247.49588754214201,57.33988199972373,2380.7030570005736,9283.39842175957,5.410491381779961,0.0,140,190,230,280,570,790,1100,1400,2100,2400,2400
GET,/postservice/posts/{id}/image,6069,0,780.0,1242.652924718566,51.633963999847765,8775.571416000275,121241.72812654474,5.513141738754631,0.0,780,1200,1600,1900,3100,4000,5100,5800,7300,8800,8800
POST,/postservice/posts/{id}/like,29617,0,140.0,239.94080142448266,60.01677999938693,3389.3301429998246,9248.853766417935,26.90438603998944,0.0,140,180,220,270,560,800,1100,1300,2300,3300,3400
POST,/userservice/users,7304,0,110.0,144.11051904327002,43.87142799987487,1193.1494979999115,127.81722343921139,6.635028383566292,0.0,110,130,140,160,220,400,510,570,840,1200,1200
POST,/userservice/users/search,16623,0,100.0,415.4266564929293,49.58874600015406,4768.729623000581,32695.973350177464,15.100503398141083,0.0,100,150,410,720,1500,1900,2300,2600,3300,4200,4800
GET,/userservice/users/{id},7311,0,85,114.05531682423909,43.76673299975664,1211.407352000606,1258.8789495281083,6.641387255237289,0.0,85,92,99,110,180,290,480,530,830,1200,1200
PUT,/userservice/users/{id},7326,0,120.0,152.2186937016136,46.28010599935806,1266.567790999943,946.7878787878788,6.6550134088179975,0.0,120,130,150,170,240,430,560,650,990,1300,1300
PUT,/userservice/users/{id}/follow,58462,0,130.0,164.11621617953435,50.93778199989174,1419.177535000017,1361.2220929834764,53.10747937569175,0.0,130,150,170,190,260,440,550,640,1000,1300,1400
GET,/userservice/users/{id}/followers,7159,0,330.0,432.9184658983027,116.67487599970627,3459.7913009993135,20583.278111468084,6.503308898952777,0.0,330,430,530,600,810,1000,1400,1600,2200,3500,3500
,Aggregated,246308,0,130.0,1400.646720744167,41.82789900005446,20500.965810999332,135974.5530068045,223.74870907714214,0.0,130,200,390,570,7400,9500,11000,12000,15000,17000,21000
