"Time","{application=""FEEDSERVICE"", method=""GET"", uri=""/feeds/{userId}""}","{application=""GATEWAY"", method=""GET"", uri=""UNKNOWN""}","{application=""GATEWAY"", method=""POST"", uri=""UNKNOWN""}","{application=""GATEWAY"", method=""PUT"", uri=""NOT_FOUND""}","{application=""GATEWAY"", method=""PUT"", uri=""UNKNOWN""}","{application=""NOTIFICATIONSERVICE"", method=""GET"", uri=""/notifications""}","{application=""NOTIFICATIONSERVICE"", method=""POST"", uri=""/notifications/count""}","{application=""NOTIFICATIONSERVICE"", method=""POST"", uri=""/notifications/{id}""}","{application=""POSTSERVICE"", method=""GET"", uri=""/categories""}","{application=""POSTSERVICE"", method=""GET"", uri=""/posts""}","{application=""POSTSERVICE"", method=""GET"", uri=""/posts/{id}""}","{application=""POSTSERVICE"", method=""GET"", uri=""/posts/{id}/image""}","{application=""POSTSERVICE"", method=""POST"", uri=""/posts""}","{application=""POSTSERVICE"", method=""POST"", uri=""/posts/{id}/comments""}","{application=""POSTSERVICE"", method=""POST"", uri=""/posts/{id}/like""}","{application=""STATISTICSERVICE"", method=""GET"", uri=""/trends/categories""}","{application=""STATISTICSERVICE"", method=""GET"", uri=""/trends/posts""}","{application=""STATISTICSERVICE"", method=""GET"", uri=""/trends/users""}","{application=""USERSERVICE"", method=""GET"", uri=""/users/{id}""}","{application=""USERSERVICE"", method=""GET"", uri=""/users/{id}/followers""}","{application=""USERSERVICE"", method=""POST"", uri=""/users""}","{application=""USERSERVICE"", method=""POST"", uri=""/users/search""}","{application=""USERSERVICE"", method=""PUT"", uri=""/users/{id}""}","{application=""USERSERVICE"", method=""PUT"", uri=""/users/{id}/follow""}"
2024-08-05 16:25:55,48.3 ms,,,,,,,,11.1 ms,17.3 ms,19.1 ms,20.2 ms,,,,NaN,,,,,73.4 ms,,19.6 ms,
2024-08-05 16:26:00,44.5 ms,28.5 ms,68.1 ms,NaN,31.0 ms,,,,10.2 ms,16.6 ms,17.5 ms,14.5 ms,102 ms,53.8 ms,32.9 ms,NaN,,,12.1 ms,14.5 ms,61.3 ms,9.55 ms,20.3 ms,28.6 ms
2024-08-05 16:26:05,34.9 ms,27.4 ms,67.1 ms,NaN,30.4 ms,7.55 ms,7.87 ms,17.4 ms,9.72 ms,16.3 ms,16.5 ms,14.2 ms,99.7 ms,51.0 ms,32.7 ms,NaN,NaN,NaN,11.7 ms,14.1 ms,60.9 ms,9.18 ms,20.8 ms,28.3 ms
2024-08-05 16:26:10,30.0 ms,26.7 ms,66.4 ms,NaN,30.1 ms,7.45 ms,7.55 ms,15.5 ms,8.30 ms,14.4 ms,12.5 ms,13.8 ms,93.0 ms,52.9 ms,29.7 ms,NaN,NaN,NaN,11.2 ms,12.2 ms,62.7 ms,10.4 ms,52.7 ms,23.5 ms
2024-08-05 16:26:15,29.3 ms,23.4 ms,53.8 ms,NaN,32.3 ms,7.42 ms,7.31 ms,15.2 ms,5.99 ms,13.9 ms,9.01 ms,12.8 ms,83.1 ms,48.7 ms,26.7 ms,NaN,NaN,NaN,9.73 ms,11.6 ms,69.1 ms,11.2 ms,43.7 ms,23.1 ms
2024-08-05 16:26:20,26.6 ms,23.1 ms,53.4 ms,NaN,32.2 ms,8.52 ms,6.88 ms,14.0 ms,5.91 ms,13.8 ms,8.96 ms,12.8 ms,82.1 ms,48.1 ms,26.4 ms,NaN,NaN,NaN,9.76 ms,11.5 ms,69.1 ms,11.2 ms,43.2 ms,23.0 ms
2024-08-05 16:26:25,24.3 ms,22.8 ms,53.1 ms,NaN,32.1 ms,7.93 ms,6.50 ms,14.3 ms,5.26 ms,13.0 ms,8.32 ms,12.4 ms,76.5 ms,44.2 ms,26.1 ms,NaN,NaN,NaN,8.27 ms,11.1 ms,61.8 ms,9.49 ms,34.5 ms,23.4 ms
2024-08-05 16:26:30,24.0 ms,19.7 ms,43.6 ms,NaN,28.5 ms,7.85 ms,6.40 ms,14.2 ms,5.19 ms,12.1 ms,8.91 ms,12.2 ms,69.6 ms,41.7 ms,24.9 ms,NaN,NaN,NaN,7.76 ms,11.1 ms,56.3 ms,9.13 ms,35.9 ms,22.6 ms
2024-08-05 16:26:35,21.5 ms,19.6 ms,43.4 ms,NaN,28.4 ms,7.40 ms,6.44 ms,14.3 ms,5.10 ms,12.0 ms,8.81 ms,12.2 ms,69.0 ms,41.4 ms,24.8 ms,NaN,NaN,NaN,7.75 ms,11.0 ms,56.3 ms,9.09 ms,35.9 ms,22.5 ms
2024-08-05 16:26:40,20.2 ms,19.5 ms,43.2 ms,NaN,28.4 ms,7.16 ms,6.41 ms,15.0 ms,4.81 ms,11.2 ms,8.41 ms,11.6 ms,73.4 ms,42.0 ms,26.6 ms,NaN,NaN,NaN,6.82 ms,10.3 ms,51.3 ms,8.15 ms,34.7 ms,21.6 ms
2024-08-05 16:26:45,20.0 ms,18.2 ms,39.9 ms,NaN,26.0 ms,7.12 ms,6.37 ms,15.0 ms,4.63 ms,10.6 ms,7.83 ms,12.0 ms,73.2 ms,41.9 ms,26.0 ms,NaN,NaN,NaN,6.43 ms,10.6 ms,45.4 ms,7.40 ms,32.0 ms,20.6 ms
2024-08-05 16:26:50,19.9 ms,18.1 ms,39.8 ms,NaN,26.0 ms,6.77 ms,6.10 ms,16.6 ms,4.58 ms,10.5 ms,7.77 ms,11.9 ms,72.9 ms,41.8 ms,25.9 ms,NaN,14.8 ms,NaN,6.41 ms,10.6 ms,45.4 ms,7.37 ms,31.9 ms,20.6 ms
2024-08-05 16:26:55,19.7 ms,18.0 ms,39.7 ms,NaN,26.0 ms,6.50 ms,5.98 ms,16.0 ms,4.42 ms,10.2 ms,7.44 ms,11.8 ms,71.5 ms,40.0 ms,25.4 ms,NaN,14.8 ms,NaN,6.12 ms,10.6 ms,39.6 ms,7.50 ms,31.0 ms,19.6 ms
2024-08-05 16:27:00,19.6 ms,17.1 ms,38.4 ms,NaN,26.8 ms,6.47 ms,5.95 ms,16.0 ms,4.37 ms,9.91 ms,7.48 ms,11.5 ms,70.6 ms,39.9 ms,25.6 ms,NaN,14.8 ms,NaN,5.93 ms,10.5 ms,38.4 ms,7.11 ms,32.5 ms,20.3 ms
2024-08-05 16:27:05,19.4 ms,17.1 ms,38.3 ms,NaN,26.8 ms,6.33 ms,5.79 ms,15.6 ms,4.34 ms,9.89 ms,7.44 ms,11.5 ms,70.4 ms,39.8 ms,25.6 ms,NaN,14.8 ms,NaN,5.92 ms,10.5 ms,38.4 ms,7.10 ms,32.5 ms,20.3 ms
2024-08-05 16:27:10,19.2 ms,17.0 ms,38.2 ms,NaN,26.8 ms,6.22 ms,5.68 ms,15.1 ms,4.22 ms,9.60 ms,7.16 ms,11.4 ms,69.1 ms,39.3 ms,25.0 ms,NaN,14.8 ms,NaN,5.60 ms,10.6 ms,36.9 ms,6.83 ms,33.5 ms,20.8 ms
2024-08-05 16:27:15,19.2 ms,16.7 ms,35.4 ms,NaN,24.8 ms,6.20 ms,5.66 ms,15.1 ms,4.22 ms,9.48 ms,6.98 ms,11.3 ms,67.3 ms,38.6 ms,24.3 ms,NaN,14.8 ms,NaN,5.50 ms,10.6 ms,33.8 ms,6.60 ms,31.2 ms,20.2 ms
2024-08-05 16:27:20,19.0 ms,16.6 ms,35.3 ms,NaN,24.8 ms,6.47 ms,5.53 ms,14.8 ms,4.20 ms,9.46 ms,6.96 ms,11.3 ms,67.2 ms,38.6 ms,24.3 ms,NaN,14.8 ms,NaN,5.49 ms,10.6 ms,33.8 ms,6.59 ms,31.2 ms,20.1 ms
2024-08-05 16:27:25,18.7 ms,16.6 ms,35.3 ms,NaN,24.8 ms,6.39 ms,5.44 ms,14.8 ms,4.16 ms,9.34 ms,6.69 ms,11.1 ms,65.9 ms,37.6 ms,23.9 ms,NaN,14.8 ms,NaN,5.29 ms,10.9 ms,31.8 ms,6.38 ms,29.6 ms,19.8 ms
2024-08-05 16:27:30,18.7 ms,16.2 ms,33.5 ms,NaN,24.1 ms,6.38 ms,5.42 ms,14.8 ms,4.12 ms,9.21 ms,6.55 ms,10.8 ms,64.6 ms,38.0 ms,23.6 ms,NaN,14.8 ms,NaN,5.19 ms,10.9 ms,30.3 ms,6.52 ms,28.9 ms,19.6 ms
2024-08-05 16:27:35,18.8 ms,16.2 ms,33.5 ms,NaN,24.1 ms,6.23 ms,5.34 ms,14.4 ms,4.10 ms,9.20 ms,6.53 ms,10.8 ms,64.5 ms,37.9 ms,23.6 ms,NaN,14.8 ms,NaN,5.18 ms,10.9 ms,30.3 ms,6.51 ms,28.9 ms,19.6 ms
2024-08-05 16:27:40,18.7 ms,16.2 ms,33.4 ms,NaN,24.1 ms,6.21 ms,5.31 ms,14.3 ms,4.03 ms,9.04 ms,6.45 ms,10.6 ms,63.7 ms,38.1 ms,23.4 ms,32.0 ms,14.8 ms,27.5 ms,5.11 ms,11.1 ms,30.2 ms,6.54 ms,28.3 ms,19.4 ms
2024-08-05 16:27:45,18.6 ms,15.9 ms,32.5 ms,NaN,23.1 ms,6.20 ms,5.30 ms,14.3 ms,3.98 ms,9.31 ms,6.26 ms,10.4 ms,63.2 ms,38.1 ms,23.4 ms,32.0 ms,14.8 ms,27.5 ms,5.04 ms,11.3 ms,29.0 ms,6.82 ms,27.2 ms,19.1 ms
2024-08-05 16:27:50,18.7 ms,15.9 ms,32.5 ms,NaN,23.1 ms,6.08 ms,5.22 ms,14.1 ms,3.97 ms,9.37 ms,6.24 ms,10.4 ms,63.1 ms,38.1 ms,23.3 ms,29.6 ms,21.6 ms,28.0 ms,5.04 ms,11.3 ms,29.0 ms,6.81 ms,27.2 ms,19.1 ms
2024-08-05 16:27:55,18.6 ms,15.9 ms,32.5 ms,NaN,23.1 ms,6.00 ms,5.19 ms,14.1 ms,3.93 ms,9.36 ms,6.13 ms,10.4 ms,62.6 ms,37.8 ms,23.4 ms,29.4 ms,21.6 ms,28.1 ms,4.94 ms,11.4 ms,27.9 ms,6.71 ms,26.5 ms,18.7 ms
2024-08-05 16:28:00,18.6 ms,15.9 ms,31.5 ms,14.8 ms,22.5 ms,5.99 ms,5.18 ms,14.1 ms,3.94 ms,9.29 ms,6.27 ms,10.3 ms,62.6 ms,37.6 ms,23.3 ms,29.4 ms,21.6 ms,28.1 ms,5.03 ms,11.9 ms,26.8 ms,6.69 ms,25.5 ms,18.4 ms
2024-08-05 16:28:05,18.5 ms,15.9 ms,31.5 ms,14.8 ms,22.5 ms,5.90 ms,5.10 ms,13.8 ms,3.93 ms,9.33 ms,6.27 ms,10.3 ms,62.6 ms,37.6 ms,23.3 ms,29.6 ms,21.6 ms,28.0 ms,5.06 ms,11.9 ms,26.7 ms,6.68 ms,25.5 ms,18.4 ms
2024-08-05 16:28:10,18.4 ms,15.8 ms,31.4 ms,14.8 ms,22.5 ms,5.85 ms,4.92 ms,13.7 ms,3.87 ms,9.34 ms,6.22 ms,10.2 ms,61.7 ms,37.1 ms,23.3 ms,29.4 ms,21.6 ms,28.1 ms,5.00 ms,12.2 ms,26.1 ms,6.63 ms,24.9 ms,18.3 ms
2024-08-05 16:28:15,18.4 ms,15.9 ms,30.9 ms,14.8 ms,22.6 ms,5.84 ms,4.91 ms,13.7 ms,4.07 ms,9.36 ms,6.23 ms,10.5 ms,63.4 ms,37.5 ms,23.7 ms,29.4 ms,21.6 ms,28.1 ms,5.00 ms,12.6 ms,25.1 ms,7.08 ms,25.6 ms,18.4 ms
2024-08-05 16:28:20,18.5 ms,15.9 ms,30.9 ms,14.8 ms,22.6 ms,5.75 ms,4.86 ms,14.6 ms,4.09 ms,9.39 ms,6.23 ms,10.6 ms,63.6 ms,37.7 ms,23.8 ms,29.6 ms,21.6 ms,28.0 ms,5.02 ms,12.7 ms,25.0 ms,7.19 ms,25.8 ms,18.5 ms
