Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feedservice/feeds/{user_id},71219,4,180.0,661.4389505166464,40.13036100514,78811.75445300323,32897.31436835676,64.74978660172873,0.00363665800428137,180,250,320,370,590,920,2000,13000,60000,75000,79000
GET,/notificationservice/notifications,27980,0,140.0,169.39255473735722,52.87644099735189,1448.7272900005337,786.9937455325232,25.438422739948184,0.0,140,170,200,220,300,390,530,640,930,1300,1400
POST,/notificationservice/notifications/count,27999,0,140.0,169.93340263881814,52.67827799980296,1579.6952830060036,1.2577949212471875,25.45569686546852,0.0,140,170,200,220,300,390,530,640,950,1200,1600
POST,/notificationservice/notifications/{id},19314,0,110.0,136.73380037339717,37.27315500145778,1526.8404870002996,89.27555141348245,17.559603173672595,0.0,110,140,160,180,250,340,490,610,1000,1500,1500
GET,/postservice/categories,26185,0,52,77.40926765115778,37.136129998543765,1381.1033020028844,666.0,23.80647246052692,0.0,52,67,81,92,130,180,320,460,810,1200,1400
GET,/postservice/posts,18410,0,160.0,181.46920843117408,42.071995994774625,1589.4665499945404,36192.746605105924,16.737718464705008,0.0,160,200,230,250,330,430,580,700,1000,1400,1600
POST,/postservice/posts,13068,0,170.0,222.8573003102066,52.641905000200495,1767.5308760008193,588.0373431282522,11.880961699987237,0.0,170,220,270,300,410,540,710,810,1300,1700,1800
GET,/postservice/posts/{id},12824,0,51,75.13907921319569,37.37980999721913,1202.6865209991229,801.217560823456,11.659125561726073,0.0,51,64,77,88,120,170,280,450,810,1200,1200
POST,/postservice/posts/{id}/comments,13120,0,120.0,168.72877566860876,45.657646995096,2916.713726997841,12789.546646341463,11.928238254042894,0.0,120,160,190,220,310,420,620,760,1300,2000,2900
GET,/postservice/posts/{id}/image,12943,0,130.0,170.11662238213253,38.44246199878398,2054.5355400026892,121987.60766437456,11.767316137353443,0.0,130,180,210,230,320,420,610,720,1100,1700,2100
POST,/postservice/posts/{id}/like,64901,0,110.0,146.27703381857444,42.49570600222796,2476.3877770019462,12493.703841235112,59.0056852839663,0.0,110,140,170,190,260,360,550,690,1100,1800,2500
POST,/userservice/users,15613,0,65,92.58489827956753,37.54547599965008,1480.787866996252,126.77160058925254,14.194785355211259,0.0,65,82,99,110,150,220,350,490,970,1500,1500
POST,/userservice/users/search,35879,0,94,144.104843386854,42.33224099880317,1908.873375999974,38606.61793806962,32.61991313390282,0.0,94,140,190,210,290,370,530,660,1200,1800,1900
GET,/userservice/users/{id},15783,0,52,79.15532045053781,36.45862900157226,1669.7641589998966,1281.8584553000064,14.349343320393217,0.0,52,68,83,96,140,190,310,470,980,1600,1700
PUT,/userservice/users/{id},15715,0,69,96.28920222507102,37.262093006575014,1646.7279310018057,962.8555520203627,14.287520134320433,0.0,69,86,100,120,160,230,370,520,960,1600,1600
PUT,/userservice/users/{id}/follow,126233,1,74,103.36798175610875,38.62567400210537,1745.2156520012068,1414.318561707319,114.76656246361254,0.0009091645010703425,74,92,110,120,170,240,380,550,1000,1700,1700
GET,/userservice/users/{id}/followers,15662,0,430.0,502.0460913395021,133.53135099896463,3640.550099000393,22239.36930149406,14.239334415763706,0.0,430,530,610,670,840,1000,1300,1500,2300,3400,3600
,Aggregated,532848,5,100.0,211.4826006971868,36.45862900157226,78811.75445300323,14216.614021259345,484.4464860663299,0.0045458225053517124,100,140,180,210,320,470,710,930,20000,60000,79000
