"Time","{application=""FEEDSERVICE"", method=""GET"", uri=""/feeds/{userId}""}","{application=""GATEWAY"", method=""GET"", uri=""UNKNOWN""}","{application=""GATEWAY"", method=""POST"", uri=""UNKNOWN""}","{application=""GATEWAY"", method=""PUT"", uri=""NOT_FOUND""}","{application=""GATEWAY"", method=""PUT"", uri=""UNKNOWN""}","{application=""NOTIFICATIONSERVICE"", method=""GET"", uri=""/notifications""}","{application=""NOTIFICATIONSERVICE"", method=""POST"", uri=""/notifications/count""}","{application=""NOTIFICATIONSERVICE"", method=""POST"", uri=""/notifications/{id}""}","{application=""POSTSERVICE"", method=""GET"", uri=""/categories""}","{application=""POSTSERVICE"", method=""GET"", uri=""/posts""}","{application=""POSTSERVICE"", method=""GET"", uri=""/posts/{id}""}","{application=""POSTSERVICE"", method=""GET"", uri=""/posts/{id}/image""}","{application=""POSTSERVICE"", method=""POST"", uri=""/posts""}","{application=""POSTSERVICE"", method=""POST"", uri=""/posts/{id}/comments""}","{application=""POSTSERVICE"", method=""POST"", uri=""/posts/{id}/like""}","{application=""STATISTICSERVICE"", method=""GET"", uri=""/trends/categories""}","{application=""STATISTICSERVICE"", method=""GET"", uri=""/trends/posts""}","{application=""STATISTICSERVICE"", method=""GET"", uri=""/trends/users""}","{application=""USERSERVICE"", method=""GET"", uri=""/users/{id}""}","{application=""USERSERVICE"", method=""GET"", uri=""/users/{id}/followers""}","{application=""USERSERVICE"", method=""POST"", uri=""/users""}","{application=""USERSERVICE"", method=""POST"", uri=""/users/search""}","{application=""USERSERVICE"", method=""PUT"", uri=""/users/{id}""}","{application=""USERSERVICE"", method=""PUT"", uri=""/users/{id}/follow""}"
2024-08-05 11:36:55,,55.1 ms,72.3 ms,,,12.2 ms,,,,,,,,,,,,,,,,,,
2024-08-05 11:37:00,,37.9 ms,54.8 ms,,27.5 ms,11.4 ms,,,,,,,,,,NaN,NaN,NaN,,,,,,
2024-08-05 11:37:05,,36.0 ms,51.9 ms,,27.2 ms,8.87 ms,10.6 ms,,6.62 ms,15.0 ms,10.5 ms,18.9 ms,66.5 ms,49.4 ms,39.9 ms,NaN,NaN,NaN,8.78 ms,13.8 ms,44.4 ms,8.98 ms,,18.7 ms
2024-08-05 11:37:10,27.7 ms,29.9 ms,46.0 ms,,24.0 ms,9.08 ms,7.81 ms,,6.54 ms,14.7 ms,10.2 ms,18.4 ms,66.1 ms,49.6 ms,39.5 ms,NaN,NaN,NaN,8.67 ms,13.4 ms,44.3 ms,8.73 ms,,18.3 ms
2024-08-05 11:37:15,27.0 ms,26.7 ms,45.2 ms,,23.6 ms,8.84 ms,7.50 ms,,6.48 ms,14.5 ms,10.0 ms,18.1 ms,65.8 ms,49.8 ms,39.3 ms,NaN,NaN,NaN,8.59 ms,13.2 ms,44.2 ms,8.56 ms,,18.0 ms
2024-08-05 11:37:20,26.5 ms,26.3 ms,44.6 ms,,23.3 ms,8.33 ms,7.01 ms,59.2 ms,6.11 ms,13.1 ms,8.99 ms,16.0 ms,63.9 ms,40.7 ms,30.3 ms,NaN,NaN,NaN,8.13 ms,13.5 ms,29.4 ms,8.18 ms,25.2 ms,15.2 ms
2024-08-05 11:37:25,22.7 ms,23.6 ms,41.1 ms,,22.5 ms,8.24 ms,6.84 ms,48.8 ms,6.09 ms,13.0 ms,8.89 ms,15.9 ms,63.5 ms,40.7 ms,30.1 ms,NaN,NaN,NaN,8.10 ms,13.4 ms,29.2 ms,8.01 ms,24.6 ms,15.1 ms
2024-08-05 11:37:30,22.4 ms,22.1 ms,37.0 ms,,21.6 ms,8.16 ms,6.75 ms,49.7 ms,6.07 ms,12.9 ms,8.81 ms,15.8 ms,63.1 ms,40.6 ms,30.0 ms,NaN,NaN,NaN,8.07 ms,13.4 ms,29.0 ms,7.88 ms,24.1 ms,15.1 ms
2024-08-05 11:37:35,22.2 ms,21.9 ms,36.9 ms,,21.5 ms,7.68 ms,6.35 ms,44.8 ms,4.98 ms,11.2 ms,7.55 ms,13.4 ms,59.9 ms,42.8 ms,26.3 ms,NaN,NaN,NaN,6.65 ms,11.3 ms,22.7 ms,8.04 ms,26.1 ms,14.2 ms
2024-08-05 11:37:40,19.0 ms,19.9 ms,35.0 ms,,20.7 ms,7.19 ms,6.28 ms,42.6 ms,4.96 ms,11.1 ms,7.51 ms,13.3 ms,59.7 ms,42.8 ms,26.2 ms,NaN,NaN,NaN,6.64 ms,11.3 ms,22.6 ms,7.97 ms,25.9 ms,14.2 ms
2024-08-05 11:37:45,18.9 ms,18.8 ms,35.4 ms,NaN,19.5 ms,7.15 ms,6.24 ms,42.9 ms,4.95 ms,11.1 ms,7.47 ms,13.3 ms,59.5 ms,42.8 ms,26.2 ms,25.9 ms,24.8 ms,NaN,6.62 ms,11.3 ms,22.5 ms,7.92 ms,25.8 ms,14.1 ms
2024-08-05 11:37:50,18.7 ms,18.8 ms,35.3 ms,NaN,19.5 ms,6.93 ms,5.96 ms,39.0 ms,4.52 ms,10.8 ms,7.13 ms,11.0 ms,58.4 ms,39.4 ms,26.6 ms,25.9 ms,24.8 ms,NaN,5.78 ms,10.2 ms,21.8 ms,7.11 ms,24.6 ms,13.7 ms
2024-08-05 11:37:55,18.2 ms,18.0 ms,33.5 ms,NaN,19.4 ms,6.94 ms,5.79 ms,37.6 ms,4.51 ms,10.8 ms,7.11 ms,11.0 ms,58.3 ms,39.4 ms,26.5 ms,25.9 ms,24.8 ms,NaN,5.76 ms,10.2 ms,21.7 ms,7.08 ms,24.5 ms,13.7 ms
2024-08-05 11:38:00,18.1 ms,17.7 ms,32.6 ms,NaN,19.3 ms,6.91 ms,5.77 ms,37.7 ms,4.50 ms,10.8 ms,7.09 ms,10.9 ms,58.2 ms,39.4 ms,26.5 ms,25.9 ms,24.8 ms,NaN,5.75 ms,10.2 ms,21.6 ms,7.06 ms,24.4 ms,13.7 ms
2024-08-05 11:38:05,18.1 ms,17.7 ms,32.5 ms,NaN,19.3 ms,6.76 ms,5.76 ms,34.8 ms,4.21 ms,9.99 ms,6.67 ms,10.6 ms,57.7 ms,36.3 ms,25.1 ms,25.9 ms,24.8 ms,NaN,5.30 ms,11.7 ms,21.2 ms,6.71 ms,23.8 ms,14.3 ms
2024-08-05 11:38:10,19.2 ms,17.5 ms,31.5 ms,NaN,19.6 ms,6.76 ms,5.59 ms,32.8 ms,4.21 ms,9.96 ms,6.66 ms,10.6 ms,57.6 ms,36.3 ms,25.1 ms,25.9 ms,24.8 ms,NaN,5.29 ms,11.7 ms,21.1 ms,6.69 ms,23.7 ms,14.3 ms
2024-08-05 11:38:15,19.1 ms,17.4 ms,31.0 ms,NaN,19.3 ms,6.74 ms,5.57 ms,32.9 ms,4.20 ms,9.94 ms,6.64 ms,10.6 ms,57.5 ms,36.3 ms,25.1 ms,25.9 ms,24.8 ms,NaN,5.29 ms,11.7 ms,21.1 ms,6.67 ms,23.7 ms,14.3 ms
2024-08-05 11:38:20,19.0 ms,17.4 ms,30.9 ms,NaN,19.3 ms,6.68 ms,5.49 ms,32.1 ms,4.06 ms,9.59 ms,6.37 ms,10.6 ms,56.0 ms,35.3 ms,24.9 ms,25.9 ms,24.8 ms,NaN,4.98 ms,15.9 ms,19.7 ms,6.57 ms,23.0 ms,14.3 ms
2024-08-05 11:38:25,18.6 ms,17.3 ms,30.2 ms,NaN,19.2 ms,6.47 ms,5.52 ms,30.5 ms,4.06 ms,9.57 ms,6.35 ms,10.6 ms,55.9 ms,35.2 ms,24.8 ms,25.9 ms,24.8 ms,NaN,4.97 ms,15.9 ms,19.6 ms,6.55 ms,23.0 ms,14.3 ms
2024-08-05 11:38:30,18.5 ms,17.4 ms,29.9 ms,NaN,19.2 ms,6.45 ms,5.50 ms,30.5 ms,4.05 ms,9.55 ms,6.34 ms,10.5 ms,55.9 ms,35.2 ms,24.8 ms,25.9 ms,24.8 ms,NaN,4.97 ms,15.9 ms,19.6 ms,6.54 ms,22.9 ms,14.3 ms
2024-08-05 11:38:35,18.4 ms,17.3 ms,29.8 ms,NaN,19.2 ms,6.39 ms,5.42 ms,29.7 ms,3.92 ms,9.18 ms,6.17 ms,10.1 ms,54.6 ms,34.8 ms,24.1 ms,25.9 ms,24.8 ms,NaN,4.75 ms,19.4 ms,18.8 ms,6.41 ms,21.8 ms,14.4 ms
2024-08-05 11:38:40,18.2 ms,17.4 ms,29.2 ms,NaN,19.2 ms,6.18 ms,5.28 ms,29.2 ms,3.92 ms,9.17 ms,6.17 ms,10.1 ms,54.6 ms,34.8 ms,24.0 ms,25.9 ms,24.8 ms,NaN,4.75 ms,19.4 ms,18.8 ms,6.40 ms,21.7 ms,14.4 ms
2024-08-05 11:38:45,18.2 ms,17.5 ms,28.3 ms,NaN,19.3 ms,6.17 ms,5.28 ms,29.2 ms,3.92 ms,9.16 ms,6.16 ms,10.1 ms,54.5 ms,34.8 ms,24.0 ms,26.8 ms,24.8 ms,20.2 ms,4.74 ms,19.4 ms,18.8 ms,6.39 ms,21.7 ms,14.4 ms
2024-08-05 11:38:50,18.6 ms,17.4 ms,28.3 ms,NaN,19.3 ms,6.09 ms,5.19 ms,28.5 ms,3.83 ms,9.05 ms,6.12 ms,9.74 ms,53.8 ms,34.4 ms,23.8 ms,26.8 ms,24.8 ms,20.2 ms,4.58 ms,21.8 ms,18.3 ms,6.44 ms,21.0 ms,14.6 ms
2024-08-05 11:38:55,18.9 ms,17.3 ms,28.2 ms,NaN,19.2 ms,5.96 ms,5.09 ms,28.9 ms,4.11 ms,9.53 ms,6.19 ms,9.81 ms,53.6 ms,34.2 ms,24.1 ms,26.8 ms,24.8 ms,20.2 ms,4.73 ms,21.9 ms,18.3 ms,6.66 ms,20.8 ms,15.1 ms
2024-08-05 11:39:00,18.9 ms,17.4 ms,27.8 ms,NaN,19.4 ms,5.95 ms,5.08 ms,28.9 ms,4.14 ms,9.57 ms,6.22 ms,9.82 ms,53.6 ms,34.3 ms,24.1 ms,26.8 ms,24.8 ms,20.2 ms,4.76 ms,21.9 ms,18.2 ms,6.68 ms,20.8 ms,15.1 ms
2024-08-05 11:39:05,18.9 ms,17.4 ms,27.8 ms,NaN,19.3 ms,5.91 ms,5.05 ms,28.2 ms,4.13 ms,9.63 ms,6.22 ms,9.71 ms,53.5 ms,34.5 ms,24.0 ms,26.8 ms,24.8 ms,20.2 ms,4.74 ms,23.2 ms,18.1 ms,6.62 ms,20.5 ms,15.3 ms
2024-08-05 11:39:10,18.6 ms,17.2 ms,27.7 ms,NaN,19.5 ms,5.77 ms,4.98 ms,28.1 ms,4.13 ms,9.60 ms,6.21 ms,9.70 ms,53.8 ms,34.4 ms,24.1 ms,26.8 ms,24.8 ms,20.2 ms,4.87 ms,23.1 ms,18.0 ms,6.67 ms,21.3 ms,15.4 ms
