Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feedservice/feeds/{user_id},69505,0,120.0,676.3037013538847,41.40998300135834,88827.0228750007,33174.149039637436,63.17896442515643,0.0,120,150,180,200,300,570,1700,21000,60000,87000,89000
GET,/notificationservice/notifications,27688,0,95,128.53177917272026,50.3090809997957,1762.9602490014804,749.9544568043918,25.167961542388767,0.0,95,120,140,160,230,300,450,600,1100,1600,1800
POST,/notificationservice/notifications/count,27841,0,95,129.58332001731745,50.34003100081463,1788.0088890015031,1.2539420279443985,25.307036163740452,0.0,95,120,140,160,230,300,440,600,1000,1700,1800
POST,/notificationservice/notifications/{id},19028,0,62,99.10535023354971,36.71694500008016,1760.0328780026757,89.29340971200337,17.296156176992685,0.0,62,86,110,130,190,290,420,540,930,1800,1800
GET,/postservice/categories,25745,4,48,77.00913753011942,37.00982099871908,2393.9747369986435,651.9224703825986,23.401804749667683,0.003635937813115973,48,62,77,89,130,170,340,590,1200,1900,2400
GET,/postservice/posts,17996,1,140.0,166.88196756913518,41.236003999074455,2394.957806001912,35799.50766837075,16.358084221208763,0.0009089844532789933,140,180,210,230,300,390,590,720,1300,2000,2400
POST,/postservice/posts,12584,1,160.0,204.1899640163798,50.1062869989255,1936.7732270002307,588.2899713922441,11.438660360062851,0.0009089844532789933,160,210,250,280,380,490,670,830,1200,1700,1900
GET,/postservice/posts/{id},12607,1,46,72.37436601815874,37.014413999713724,1662.7870349984732,798.4028714206394,11.459567002488269,0.0009089844532789933,46,56,70,80,120,160,280,590,1200,1400,1700
POST,/postservice/posts/{id}/comments,12724,6,100.0,145.64825269625265,45.674535000216565,2037.7066229993943,12084.45033008488,11.56591818352191,0.00545390671967396,100,140,170,190,270,370,560,690,1400,1900,2000
GET,/postservice/posts/{id}/image,12740,2,120.0,165.24193830265764,38.27217199977895,2395.7884869996633,124048.54827315542,11.580461934774375,0.0018179689065579866,120,170,200,230,310,420,620,750,1300,2100,2400
POST,/postservice/posts/{id}/like,63632,8,85,126.3709882595721,41.13798099933774,2394.4023469994136,12149.831751320091,57.8404987310489,0.007271875626231946,85,120,150,170,230,320,510,650,1200,1900,2400
POST,/userservice/users,15470,0,73,99.91492775262525,37.92430899920873,1377.8710840015265,126.6453781512605,14.061989492226026,0.0,73,92,110,130,170,230,360,490,870,1100,1400
POST,/userservice/users/search,35178,0,96,146.39250873411038,41.7197689985187,1596.8025330003002,38753.11126272102,31.976255097448426,0.0,96,150,190,220,300,380,520,650,1100,1500,1600
GET,/userservice/users/{id},15693,0,52,81.03158563983351,37.267823001457145,1456.148706998647,1286.7897151596253,14.264693025307242,0.0,52,71,89,100,150,200,320,440,830,1200,1500
PUT,/userservice/users/{id},15610,0,76,103.41606716963707,38.27598899988516,1672.4467140011257,939.690070467649,14.189247315685085,0.0,76,95,110,130,180,240,380,510,910,1300,1700
PUT,/userservice/users/{id}/follow,124790,0,82,112.94659204482261,38.30326400020567,1846.751338998729,1406.4931565029249,113.43216992468557,0.0,82,100,120,140,190,260,410,540,940,1200,1800
GET,/userservice/users/{id}/followers,15962,0,410.0,489.1957504709383,129.10260299941,2309.499404000235,21791.995990477382,14.50920984323929,0.0,410,520,620,680,860,1000,1200,1300,1700,2000,2300
,Aggregated,524793,23,90,205.81595222858172,36.71694500008016,88827.0228750007,14172.189253667637,477.02867818964273,0.020906642425416847,90,120,150,180,270,400,640,850,28000,65000,89000
