"Time","Value"
2024-08-05 11:36:05,111 W
2024-08-05 11:36:10,112 W
2024-08-05 11:36:15,119 W
2024-08-05 11:36:20,113 W
2024-08-05 11:36:25,134 W
2024-08-05 11:36:30,112 W
2024-08-05 11:36:35,113 W
2024-08-05 11:36:40,176 W
2024-08-05 11:36:45,126 W
2024-08-05 11:36:50,126 W
2024-08-05 11:36:55,166 W
2024-08-05 11:37:00,131 W
2024-08-05 11:37:05,140 W
2024-08-05 11:37:10,145 W
2024-08-05 11:37:15,167 W
2024-08-05 11:37:20,137 W
2024-08-05 11:37:25,206 W
2024-08-05 11:37:30,186 W
2024-08-05 11:37:35,163 W
2024-08-05 11:37:40,213 W
2024-08-05 11:37:45,188 W
2024-08-05 11:37:50,214 W
2024-08-05 11:37:55,193 W
2024-08-05 11:38:00,129 W
2024-08-05 11:38:05,127 W
2024-08-05 11:38:10,151 W
2024-08-05 11:38:15,156 W
2024-08-05 11:38:20,166 W
2024-08-05 11:38:25,204 W
2024-08-05 11:38:30,153 W
2024-08-05 11:38:35,153 W
2024-08-05 11:38:40,141 W
2024-08-05 11:38:45,171 W
2024-08-05 11:38:50,141 W
2024-08-05 11:38:55,159 W
2024-08-05 11:39:00,147 W
2024-08-05 11:39:05,156 W
2024-08-05 11:39:10,129 W
2024-08-05 11:39:15,174 W
2024-08-05 11:39:20,130 W
2024-08-05 11:39:25,149 W
2024-08-05 11:39:30,147 W
2024-08-05 11:39:35,130 W
2024-08-05 11:39:40,123 W
2024-08-05 11:39:45,131 W
2024-08-05 11:39:50,134 W
2024-08-05 11:39:55,151 W
2024-08-05 11:40:00,143 W
2024-08-05 11:40:05,159 W
2024-08-05 11:40:10,131 W
2024-08-05 11:40:15,143 W
2024-08-05 11:40:20,151 W
2024-08-05 11:40:25,147 W
2024-08-05 11:40:30,132 W
2024-08-05 11:40:35,143 W
2024-08-05 11:40:40,137 W
2024-08-05 11:40:45,155 W
2024-08-05 11:40:50,138 W
2024-08-05 11:40:55,142 W
2024-08-05 11:41:00,152 W
2024-08-05 11:41:05,129 W
2024-08-05 11:41:10,139 W
2024-08-05 11:41:15,161 W
2024-08-05 11:41:20,149 W
2024-08-05 11:41:25,148 W
2024-08-05 11:41:30,144 W
2024-08-05 11:41:35,176 W
2024-08-05 11:41:40,152 W
2024-08-05 11:41:45,134 W
2024-08-05 11:41:50,138 W
2024-08-05 11:41:55,150 W
2024-08-05 11:42:00,128 W
2024-08-05 11:42:05,146 W
2024-08-05 11:42:10,149 W
2024-08-05 11:42:15,155 W
2024-08-05 11:42:20,148 W
2024-08-05 11:42:25,156 W
2024-08-05 11:42:30,127 W
2024-08-05 11:42:35,131 W
2024-08-05 11:42:40,135 W
2024-08-05 11:42:45,138 W
2024-08-05 11:42:50,140 W
2024-08-05 11:42:55,169 W
2024-08-05 11:43:00,123 W
2024-08-05 11:43:05,176 W
2024-08-05 11:43:10,129 W
