"Time","{container=""feedservice""}","{container=""feedservice-db""}","{container=""gateway""}","{container=""grafana""}","{container=""notificationservice""}","{container=""notificationservice-db""}","{container=""postservice""}","{container=""postservice-db""}","{container=""prometheus""}","{container=""rabbitmq""}","{container=""redis""}","{container=""servicediscovery""}","{container=""snmp-exporter""}","{container=""statisticservice""}","{container=""statisticservice-db""}","{container=""userservice""}","{container=""userservice-db""}","{container=""zipkin""}"
2024-08-09 20:45:15,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 20:45:30,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 20:45:45,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 20:46:00,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 20:46:15,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 20:46:30,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 20:46:45,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 20:47:00,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 20:47:15,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 20:47:30,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 20:47:45,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 20:48:00,3,1,3,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:48:15,3,1,3,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:48:30,3,1,3,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:48:45,3,1,3,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:49:00,3,1,3,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:49:15,3,1,3,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:49:30,3,1,3,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:49:45,3,1,3,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:50:00,3,1,3,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:50:15,3,1,3,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:50:30,3,1,3,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:50:45,3,1,3,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:51:00,3,1,3,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:51:15,3,1,3,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:51:30,3,1,3,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:51:45,3,1,3,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:52:00,3,1,3,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:52:15,3,1,3,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:52:30,3,1,3,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:52:45,3,1,3,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:53:00,3,1,3,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:53:15,3,1,3,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:53:30,3,1,3,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:53:45,3,1,3,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:54:00,3,1,3,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:54:15,3,1,3,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:54:30,3,1,2,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:54:45,3,1,2,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:55:00,3,1,2,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:55:15,3,1,2,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:55:30,3,1,2,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:55:45,3,1,2,1,2,1,3,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:56:00,3,1,2,1,2,1,2,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:56:15,3,1,2,1,2,1,2,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:56:30,3,1,2,1,2,1,2,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:56:45,3,1,2,1,2,1,2,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:57:00,3,1,2,1,2,1,2,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:57:15,3,1,2,1,2,1,2,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:57:30,3,1,2,1,2,1,2,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:57:45,3,1,2,1,2,1,2,1,1,1,1,1,1,2,1,3,1,1
2024-08-09 20:58:00,3,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 20:58:15,3,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 20:58:30,3,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 20:58:45,3,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 20:59:00,3,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 20:59:15,3,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 20:59:30,3,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 20:59:45,3,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 21:00:00,3,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 21:00:15,3,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 21:00:30,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 21:00:45,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 21:01:00,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 21:01:15,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 21:01:30,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 21:01:45,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 21:02:00,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 21:02:15,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 21:02:30,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 21:02:45,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 21:03:00,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 21:03:15,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 21:03:30,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 21:03:45,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 21:04:00,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 21:04:15,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 21:04:30,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 21:04:45,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 21:05:00,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 21:05:15,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-08-09 21:05:30,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
