"Time","{application=""FEEDSERVICE"", method=""GET"", uri=""/feeds/{userId}""}","{application=""GATEWAY"", method=""GET"", uri=""UNKNOWN""}","{application=""GATEWAY"", method=""POST"", uri=""UNKNOWN""}","{application=""GATEWAY"", method=""PUT"", uri=""NOT_FOUND""}","{application=""GATEWAY"", method=""PUT"", uri=""UNKNOWN""}","{application=""NOTIFICATIONSERVICE"", method=""GET"", uri=""/notifications""}","{application=""NOTIFICATIONSERVICE"", method=""POST"", uri=""/notifications/count""}","{application=""NOTIFICATIONSERVICE"", method=""POST"", uri=""/notifications/{id}""}","{application=""POSTSERVICE"", method=""GET"", uri=""/categories""}","{application=""POSTSERVICE"", method=""GET"", uri=""/posts""}","{application=""POSTSERVICE"", method=""GET"", uri=""/posts/{id}""}","{application=""POSTSERVICE"", method=""GET"", uri=""/posts/{id}/image""}","{application=""POSTSERVICE"", method=""POST"", uri=""/posts""}","{application=""POSTSERVICE"", method=""POST"", uri=""/posts/{id}/comments""}","{application=""POSTSERVICE"", method=""POST"", uri=""/posts/{id}/like""}","{application=""USERSERVICE"", method=""GET"", uri=""/users/{id}""}","{application=""USERSERVICE"", method=""GET"", uri=""/users/{id}/followers""}","{application=""USERSERVICE"", method=""POST"", uri=""/error""}","{application=""USERSERVICE"", method=""POST"", uri=""/users""}","{application=""USERSERVICE"", method=""POST"", uri=""/users/search""}","{application=""USERSERVICE"", method=""PUT"", uri=""/error""}","{application=""USERSERVICE"", method=""PUT"", uri=""/users/{id}""}","{application=""USERSERVICE"", method=""PUT"", uri=""/users/{id}/follow""}"
2024-08-10 17:27:30,27.2 ms,,,,,,,,,,,,,,,10.4 ms,,,56.5 ms,16.1 ms,,,29.5 ms
2024-08-10 17:27:35,26.7 ms,19.8 ms,36.7 ms,8.07 ms,41.7 ms,7.08 ms,5.03 ms,24.3 ms,4.68 ms,7.03 ms,4.60 ms,12.1 ms,67.5 ms,35.1 ms,30.0 ms,10.3 ms,,,54.6 ms,15.2 ms,,,29.3 ms
2024-08-10 17:27:40,20.0 ms,18.2 ms,31.5 ms,8.36 ms,31.9 ms,7.66 ms,4.94 ms,22.8 ms,4.61 ms,6.79 ms,5.04 ms,9.37 ms,67.7 ms,34.1 ms,30.5 ms,7.94 ms,10.7 ms,,36.8 ms,10.5 ms,,44.5 ms,23.2 ms
2024-08-10 17:27:45,18.4 ms,18.1 ms,31.7 ms,8.59 ms,32.1 ms,7.67 ms,5.10 ms,23.0 ms,4.68 ms,6.80 ms,5.12 ms,9.58 ms,67.7 ms,35.1 ms,30.4 ms,7.54 ms,9.68 ms,NaN,26.1 ms,9.15 ms,NaN,29.9 ms,22.8 ms
2024-08-10 17:27:50,18.5 ms,17.6 ms,34.5 ms,10.4 ms,31.4 ms,6.97 ms,5.82 ms,23.8 ms,4.41 ms,6.46 ms,5.22 ms,9.95 ms,82.2 ms,37.5 ms,32.4 ms,7.58 ms,9.76 ms,NaN,26.2 ms,9.06 ms,NaN,30.3 ms,22.9 ms
2024-08-10 17:27:55,18.6 ms,19.5 ms,36.4 ms,10.4 ms,33.4 ms,6.00 ms,6.45 ms,25.8 ms,4.26 ms,6.40 ms,5.20 ms,10.5 ms,90.6 ms,41.8 ms,33.9 ms,8.54 ms,11.8 ms,NaN,27.7 ms,11.0 ms,NaN,29.0 ms,29.1 ms
2024-08-10 17:28:00,19.5 ms,19.5 ms,36.6 ms,10.4 ms,33.5 ms,6.07 ms,6.55 ms,26.0 ms,4.28 ms,6.42 ms,5.23 ms,10.5 ms,90.6 ms,42.3 ms,34.0 ms,8.31 ms,16.0 ms,NaN,27.1 ms,10.9 ms,NaN,35.8 ms,29.2 ms
2024-08-10 17:28:05,19.6 ms,20.2 ms,37.3 ms,10.4 ms,33.8 ms,6.42 ms,6.68 ms,25.3 ms,4.74 ms,6.72 ms,5.26 ms,15.1 ms,97.1 ms,50.7 ms,34.1 ms,8.34 ms,16.1 ms,NaN,27.2 ms,10.9 ms,NaN,35.6 ms,29.1 ms
2024-08-10 17:28:10,23.2 ms,20.6 ms,37.1 ms,10.4 ms,34.3 ms,7.53 ms,6.55 ms,24.5 ms,4.80 ms,6.70 ms,5.36 ms,14.8 ms,101 ms,53.1 ms,33.1 ms,8.45 ms,19.3 ms,NaN,26.8 ms,10.3 ms,NaN,36.2 ms,29.0 ms
2024-08-10 17:28:15,22.7 ms,20.6 ms,37.2 ms,10.4 ms,34.3 ms,7.54 ms,6.60 ms,24.6 ms,4.82 ms,6.71 ms,5.38 ms,14.8 ms,101 ms,53.4 ms,33.2 ms,7.96 ms,21.0 ms,NaN,25.7 ms,10.3 ms,NaN,34.8 ms,28.8 ms
