Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feedservice/feeds/{user_id},71542,64,160.0,321.7090429902128,41.299686999991536,9129.134109000006,23678.49714852814,64.81808175399077,0.05798492119671534,160,220,290,360,730,1200,2100,2800,4500,7100,9100
GET,/notificationservice/notifications,29045,0,180.0,224.36576491386327,52.363136997882975,2961.094227997819,737.6149767601997,26.31518806497808,0.0,180,230,270,300,400,520,710,860,1500,2200,3000
POST,/notificationservice/notifications/count,28764,0,180.0,223.06400919884237,52.6325419996283,2362.5367610002286,1.246558197747184,26.060598020348753,0.0,180,230,270,300,390,510,700,870,1500,2000,2400
POST,/notificationservice/notifications/{id},19477,0,160.0,203.39789102604007,38.270754001132445,2144.6913949985174,89.25994763053859,17.646442346069136,0.0,160,210,250,280,380,500,690,820,1400,2100,2100
GET,/postservice/categories,26063,0,51,81.63931117546517,38.30238600130542,2017.1825630022795,774.0,23.613453142968623,0.0,51,62,76,88,130,180,530,610,1200,1900,2000
GET,/postservice/posts,18222,0,160.0,192.6581624796908,41.99691800022265,2227.0578099996783,35974.29414992866,16.509394281977297,0.0,160,200,240,270,350,480,700,810,1400,2100,2200
POST,/postservice/posts,13397,2,220.0,289.95760994298604,60.46565200085752,2694.9174580004183,588.1323430618795,12.13787483238118,0.0018120287873973544,220,290,340,380,530,710,940,1200,1900,2400,2700
GET,/postservice/posts/{id},12970,0,51,78.66798527379576,38.578846000746125,1904.321665999305,757.3521202775636,11.751006686271843,0.0,51,60,72,84,120,170,390,600,1200,1900,1900
POST,/postservice/posts/{id}/comments,13267,1,170.0,232.10224445059106,54.75747200034675,2356.786472002568,22119.53561468305,12.020092961200351,0.0009060143936986772,170,220,260,300,430,620,850,1100,2000,2200,2400
GET,/postservice/posts/{id}/image,12911,0,140.0,183.1372559816635,39.94202300236793,2117.7496390009765,122436.38323909845,11.697551837043621,0.0,140,190,220,250,340,450,680,810,1400,2100,2100
POST,/postservice/posts/{id}/like,65502,3,140.0,192.9807071855842,48.43410100147594,2435.280337002041,21932.63718665079,59.34575481605076,0.0027180431810960317,140,190,230,260,370,500,690,820,1400,2100,2400
POST,/userservice/users,16127,0,67,110.0112516742044,38.460106999991694,1872.6480300028925,126.60159980157499,14.611294127178567,0.0,67,87,110,130,200,330,550,730,1300,1600,1900
POST,/userservice/users/search,36461,0,100.0,164.37115605419842,42.66653300146572,2163.607022001088,39544.831299196405,33.03419080864747,0.0,100,170,210,240,340,450,660,830,1400,1900,2200
GET,/userservice/users/{id},16079,0,53,95.74025628397045,37.821155001438456,1714.1188219975447,1270.084457988681,14.56780543628103,0.0,53,71,92,110,170,300,540,720,1300,1700,1700
PUT,/userservice/users/{id},16122,0,71,115.60652777773727,39.07771600279375,1699.95012200161,942.7027043791093,14.606764055210075,0.0,71,94,120,130,210,340,600,780,1200,1600,1700
PUT,/userservice/users/{id}/follow,128638,0,76,121.6530359190608,39.076815999578685,1987.9925360000925,1391.2255865296413,116.54787957661044,0.0,76,100,120,140,220,360,590,770,1200,1600,2000
GET,/userservice/users/{id}/followers,16097,0,460.0,563.777939272718,135.18321399897104,3752.5316259998363,349.6739143939865,14.584113695367607,0.0,460,580,680,760,980,1300,1700,2100,3100,3700,3800
,Aggregated,540684,70,120.0,193.14927563121282,37.821155001438456,9129.134109000006,13659.679959088859,489.86748644257557,0.06342100755890741,120,170,210,250,390,590,890,1200,3100,4600,9100
