"Time","Value"
2024-07-09 17:00:10,206 W
2024-07-09 17:00:20,157 W
2024-07-09 17:00:30,129 W
2024-07-09 17:00:40,148 W
2024-07-09 17:00:50,155 W
2024-07-09 17:01:00,115 W
2024-07-09 17:01:10,115 W
2024-07-09 17:01:20,126 W
2024-07-09 17:01:30,115 W
2024-07-09 17:01:40,116 W
2024-07-09 17:01:50,117 W
2024-07-09 17:02:00,109 W
2024-07-09 17:02:10,118 W
2024-07-09 17:02:20,119 W
2024-07-09 17:02:30,111 W
2024-07-09 17:02:40,114 W
2024-07-09 17:02:50,114 W
2024-07-09 17:03:00,113 W
2024-07-09 17:03:10,120 W
2024-07-09 17:03:20,115 W
2024-07-09 17:03:30,114 W
2024-07-09 17:03:40,113 W
2024-07-09 17:03:50,117 W
2024-07-09 17:04:00,114 W
2024-07-09 17:04:10,114 W
2024-07-09 17:04:20,116 W
2024-07-09 17:04:30,114 W
2024-07-09 17:04:40,110 W
2024-07-09 17:04:50,118 W
2024-07-09 17:05:00,115 W
2024-07-09 17:05:10,153 W
2024-07-09 17:05:20,146 W
2024-07-09 17:05:30,141 W
2024-07-09 17:05:40,187 W
2024-07-09 17:05:50,162 W
2024-07-09 17:06:00,140 W
2024-07-09 17:06:10,153 W
2024-07-09 17:06:20,139 W
2024-07-09 17:06:30,118 W
2024-07-09 17:06:40,164 W
2024-07-09 17:06:50,160 W
2024-07-09 17:07:00,134 W
2024-07-09 17:07:10,153 W
2024-07-09 17:07:20,143 W
2024-07-09 17:07:30,126 W
2024-07-09 17:07:40,140 W
2024-07-09 17:07:50,132 W
2024-07-09 17:08:00,115 W
2024-07-09 17:08:10,114 W
2024-07-09 17:08:20,118 W
2024-07-09 17:08:30,115 W
2024-07-09 17:08:40,117 W
2024-07-09 17:08:50,117 W
2024-07-09 17:09:00,141 W
2024-07-09 17:09:10,114 W
2024-07-09 17:09:20,115 W
2024-07-09 17:09:30,127 W
2024-07-09 17:09:40,115 W
2024-07-09 17:09:50,114 W
2024-07-09 17:10:00,123 W
2024-07-09 17:10:10,113 W
2024-07-09 17:10:20,114 W
2024-07-09 17:10:30,121 W
2024-07-09 17:10:40,111 W
2024-07-09 17:10:50,118 W
2024-07-09 17:11:00,119 W
2024-07-09 17:11:10,111 W
2024-07-09 17:11:20,113 W
2024-07-09 17:11:30,113 W
2024-07-09 17:11:40,115 W
2024-07-09 17:11:50,109 W
2024-07-09 17:12:00,109 W
2024-07-09 17:12:10,112 W
2024-07-09 17:12:20,111 W
2024-07-09 17:12:30,114 W
2024-07-09 17:12:40,112 W
2024-07-09 17:12:50,114 W
2024-07-09 17:13:00,110 W
2024-07-09 17:13:10,115 W
2024-07-09 17:13:20,127 W
2024-07-09 17:13:30,136 W
2024-07-09 17:13:40,143 W
2024-07-09 17:13:50,125 W
2024-07-09 17:14:00,118 W
2024-07-09 17:14:10,115 W
2024-07-09 17:14:20,115 W
2024-07-09 17:14:30,131 W
2024-07-09 17:14:40,126 W
2024-07-09 17:14:50,128 W
2024-07-09 17:15:00,134 W
2024-07-09 17:15:10,149 W
2024-07-09 17:15:20,133 W
2024-07-09 17:15:30,138 W
2024-07-09 17:15:40,126 W
2024-07-09 17:15:50,126 W
2024-07-09 17:16:00,146 W
2024-07-09 17:16:10,201 W
2024-07-09 17:16:20,127 W
2024-07-09 17:16:30,149 W
2024-07-09 17:16:40,144 W
2024-07-09 17:16:50,131 W
2024-07-09 17:17:00,135 W
2024-07-09 17:17:10,134 W
2024-07-09 17:17:20,126 W
2024-07-09 17:17:30,145 W
2024-07-09 17:17:40,141 W
2024-07-09 17:17:50,120 W
2024-07-09 17:18:00,143 W
2024-07-09 17:18:10,121 W
2024-07-09 17:18:20,121 W
2024-07-09 17:18:30,129 W
2024-07-09 17:18:40,118 W
2024-07-09 17:18:50,122 W
2024-07-09 17:19:00,154 W
2024-07-09 17:19:10,123 W
2024-07-09 17:19:20,131 W
2024-07-09 17:19:30,129 W
2024-07-09 17:19:40,127 W
2024-07-09 17:19:50,118 W
2024-07-09 17:20:00,129 W
2024-07-09 17:20:10,125 W
2024-07-09 17:20:20,141 W
2024-07-09 17:20:30,138 W
2024-07-09 17:20:40,134 W
2024-07-09 17:20:50,124 W
2024-07-09 17:21:00,133 W
2024-07-09 17:21:10,125 W
2024-07-09 17:21:20,118 W
2024-07-09 17:21:30,123 W
2024-07-09 17:21:40,121 W
2024-07-09 17:21:50,127 W
2024-07-09 17:22:00,129 W
2024-07-09 17:22:10,133 W
2024-07-09 17:22:20,130 W
2024-07-09 17:22:30,130 W
2024-07-09 17:22:40,138 W
2024-07-09 17:22:50,128 W
2024-07-09 17:23:00,129 W
2024-07-09 17:23:10,127 W
2024-07-09 17:23:20,141 W
2024-07-09 17:23:30,124 W
2024-07-09 17:23:40,130 W
2024-07-09 17:23:50,126 W
2024-07-09 17:24:00,126 W
2024-07-09 17:24:10,134 W
2024-07-09 17:24:20,135 W
2024-07-09 17:24:30,130 W
2024-07-09 17:24:40,129 W
2024-07-09 17:24:50,138 W
2024-07-09 17:25:00,130 W
2024-07-09 17:25:10,128 W
2024-07-09 17:25:20,126 W
2024-07-09 17:25:30,126 W
2024-07-09 17:25:40,132 W
2024-07-09 17:25:50,127 W
2024-07-09 17:26:00,123 W
2024-07-09 17:26:10,136 W
2024-07-09 17:26:20,121 W
2024-07-09 17:26:30,126 W
2024-07-09 17:26:40,131 W
2024-07-09 17:26:50,126 W
2024-07-09 17:27:00,125 W
2024-07-09 17:27:10,133 W
2024-07-09 17:27:20,119 W
2024-07-09 17:27:30,145 W
2024-07-09 17:27:40,122 W
2024-07-09 17:27:50,130 W
2024-07-09 17:28:00,126 W
