Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feedservice/feeds/{user_id},6939,5609,32000.0,38076.69352460457,74.47164199766121,925803.4040179991,118698.0814238363,9.989096678796754,8.074483826397318,32000,36000,39000,41000,49000,60000,80000,98000,602000,926000,926000
GET,/notificationservice/notifications,6067,24,120.0,1805.3525051921897,44.96914999981527,51392.08846499969,628.0171419152794,8.73380163571983,0.034549404855328154,120,440,1100,1800,5600,10000,16000,22000,43000,51000,51000
POST,/notificationservice/notifications/count,6107,150,120.0,8384.483273683489,44.50296600043657,912233.740851003,1.870312755853938,8.791383977145378,0.215933780345801,120,570,1400,2200,6600,13000,31000,302000,702000,912000,912000
POST,/notificationservice/notifications/{id},4021,74,87,5805.329830848043,18.942929000331787,880902.2925779973,86.45386719721462,5.788464871803105,0.10652733163726182,87,120,230,440,2900,7400,14000,37000,662000,881000,881000
GET,/postservice/categories,5252,684,6100.0,9766.530288270966,44.67401999863796,102212.38373100277,2605251.05102818,7.560561429174312,0.9846580383768525,6100,9000,12000,14000,24000,31000,43000,54000,85000,102000,102000
GET,/postservice/posts,4806,466,410.0,3773.9062121165152,44.683579999400536,72187.19076799971,22900.953599667082,6.918518322279463,0.6708342776076217,410,1400,2900,4400,12000,22000,31000,34000,58000,72000,72000
POST,/postservice/posts,4284,1106,1000.0,6656.7779083064825,48.7248420031392,896920.0335900022,459.87581699346407,6.167068766676076,1.5921517404163725,1000,2400,4300,6300,14000,26000,32000,41000,717000,897000,897000
GET,/postservice/posts/{id},4231,448,270.0,4905.433794781365,38.53313500076183,886566.4827629989,685.2840935948948,6.090772164287226,0.6449222239661256,270,1500,3100,4500,11000,20000,30000,35000,637000,887000,887000
POST,/postservice/posts/{id}/comments,4039,522,480.0,8160.585549038881,44.680112001515226,895212.9420849996,5582.57712305026,5.814376925444601,0.7514495556033874,480,2000,4100,6200,15000,30000,38000,82000,695000,895000,895000
GET,/postservice/posts/{id}/image,4292,757,1000.0,6896.313505365088,41.276551000919426,895669.6938599998,135899.69384902142,6.178585234961186,1.0897458114784757,1000,2300,4500,6600,16000,30000,34000,47000,717000,896000,896000
POST,/postservice/posts/{id}/like,21032,2624,370.0,6425.956325590339,41.67732800124213,880609.2836790013,5125.032141498668,30.276795121552574,3.7774015975158783,370,1700,3400,5100,13000,26000,34000,59000,632000,880000,881000
POST,/userservice/users,3574,97,120.0,6918.973931226636,39.52040600051987,914888.2529319999,128.12618914381645,5.144982206372618,0.1396371779569513,120,430,1300,2100,6200,13000,31000,69000,888000,915000,915000
POST,/userservice/users/search,7624,60,210.0,1744.1183481753712,40.79466999974102,74161.66767899995,22618.729275970618,10.975194275709244,0.0863735121383204,210,610,1100,1700,4400,8500,15000,22000,63000,74000,74000
GET,/userservice/users/{id},3613,88,100.0,6188.359792786592,38.55453800133546,911630.8373690008,1162.3966233047329,5.201124989262526,0.12668115113620323,100,420,1200,2000,5800,12000,22000,60000,831000,912000,912000
PUT,/userservice/users/{id},3527,88,120.0,6903.034287812035,41.15263099811273,911680.580283999,972.3178338531329,5.077322955197601,0.12668115113620323,120,430,1200,1900,6300,13000,23000,54000,856000,912000,912000
PUT,/userservice/users/{id}/follow,28159,362,130.0,1782.6465797974115,39.090749000024516,73458.72708299794,1279.691253240527,40.5365288050494,0.5211201899011997,130,420,1100,1800,4700,9200,15000,22000,62000,73000,73000
GET,/userservice/users/{id}/followers,3578,143,320.0,9385.662336381172,21.08704100101022,915011.0972849979,18187.68306316378,5.150740440515173,0.20585687059633026,320,770,1600,2600,7700,15000,50000,339000,914000,915000,915000
,Aggregated,121145,13302,330.0,6889.587814531643,18.942929000331787,925803.4040179991,128942.89515869413,174.39531879994706,19.14900764106563,330,1600,3500,5500,17000,31000,42000,56000,647000,911000,926000
