"Time","Value"
2024-07-07 16:55:42,116 W
2024-07-07 16:55:44,116 W
2024-07-07 16:55:46,155 W
2024-07-07 16:55:48,115 W
2024-07-07 16:55:50,115 W
2024-07-07 16:55:52,129 W
2024-07-07 16:55:54,155 W
2024-07-07 16:55:56,155 W
2024-07-07 16:55:58,122 W
2024-07-07 16:56:00,131 W
2024-07-07 16:56:02,131 W
2024-07-07 16:56:04,137 W
2024-07-07 16:56:06,131 W
2024-07-07 16:56:08,131 W
2024-07-07 16:56:10,115 W
2024-07-07 16:56:12,111 W
2024-07-07 16:56:14,111 W
2024-07-07 16:56:16,163 W
2024-07-07 16:56:18,119 W
2024-07-07 16:56:20,119 W
2024-07-07 16:56:22,123 W
2024-07-07 16:56:24,158 W
2024-07-07 16:56:26,158 W
2024-07-07 16:56:28,120 W
2024-07-07 16:56:30,135 W
2024-07-07 16:56:32,135 W
2024-07-07 16:56:34,168 W
2024-07-07 16:56:36,181 W
2024-07-07 16:56:38,181 W
2024-07-07 16:56:40,150 W
2024-07-07 16:56:42,111 W
2024-07-07 16:56:44,111 W
2024-07-07 16:56:46,181 W
2024-07-07 16:56:48,126 W
2024-07-07 16:56:50,126 W
2024-07-07 16:56:52,129 W
2024-07-07 16:56:54,151 W
2024-07-07 16:56:56,151 W
2024-07-07 16:56:58,142 W
2024-07-07 16:57:00,129 W
2024-07-07 16:57:02,129 W
2024-07-07 16:57:04,133 W
2024-07-07 16:57:06,138 W
2024-07-07 16:57:08,138 W
2024-07-07 16:57:10,114 W
2024-07-07 16:57:12,114 W
2024-07-07 16:57:14,114 W
2024-07-07 16:57:16,175 W
2024-07-07 16:57:18,123 W
2024-07-07 16:57:20,123 W
2024-07-07 16:57:22,123 W
2024-07-07 16:57:24,140 W
2024-07-07 16:57:26,140 W
2024-07-07 16:57:28,124 W
2024-07-07 16:57:30,126 W
2024-07-07 16:57:32,126 W
2024-07-07 16:57:34,145 W
2024-07-07 16:57:36,147 W
2024-07-07 16:57:38,147 W
2024-07-07 16:57:40,116 W
2024-07-07 16:57:42,119 W
2024-07-07 16:57:44,119 W
2024-07-07 16:57:46,181 W
2024-07-07 16:57:48,135 W
2024-07-07 16:57:50,135 W
2024-07-07 16:57:52,123 W
2024-07-07 16:57:54,156 W
2024-07-07 16:57:56,156 W
2024-07-07 16:57:58,127 W
2024-07-07 16:58:00,132 W
2024-07-07 16:58:02,132 W
2024-07-07 16:58:04,139 W
2024-07-07 16:58:06,148 W
2024-07-07 16:58:08,148 W
2024-07-07 16:58:10,116 W
2024-07-07 16:58:12,116 W
2024-07-07 16:58:14,116 W
2024-07-07 16:58:16,181 W
2024-07-07 16:58:18,123 W
2024-07-07 16:58:20,123 W
2024-07-07 16:58:22,122 W
2024-07-07 16:58:24,151 W
2024-07-07 16:58:26,151 W
2024-07-07 16:58:28,134 W
2024-07-07 16:58:30,136 W
2024-07-07 16:58:32,136 W
2024-07-07 16:58:34,146 W
2024-07-07 16:58:36,117 W
2024-07-07 16:58:38,117 W
2024-07-07 16:58:40,114 W
2024-07-07 16:58:42,117 W
2024-07-07 16:58:44,117 W
2024-07-07 16:58:46,191 W
2024-07-07 16:58:48,121 W
2024-07-07 16:58:50,121 W
2024-07-07 16:58:52,129 W
2024-07-07 16:58:54,158 W
2024-07-07 16:58:56,158 W
2024-07-07 16:58:58,142 W
2024-07-07 16:59:00,133 W
2024-07-07 16:59:02,133 W
2024-07-07 16:59:04,148 W
2024-07-07 16:59:06,146 W
2024-07-07 16:59:08,146 W
2024-07-07 16:59:10,118 W
2024-07-07 16:59:12,119 W
2024-07-07 16:59:14,119 W
2024-07-07 16:59:16,191 W
2024-07-07 16:59:18,133 W
2024-07-07 16:59:20,133 W
2024-07-07 16:59:22,122 W
2024-07-07 16:59:24,142 W
2024-07-07 16:59:26,142 W
2024-07-07 16:59:28,139 W
2024-07-07 16:59:30,135 W
2024-07-07 16:59:32,135 W
2024-07-07 16:59:34,142 W
2024-07-07 16:59:36,153 W
2024-07-07 16:59:38,153 W
2024-07-07 16:59:40,111 W
2024-07-07 16:59:42,116 W
2024-07-07 16:59:44,116 W
2024-07-07 16:59:46,186 W
2024-07-07 16:59:48,143 W
2024-07-07 16:59:50,143 W
2024-07-07 16:59:52,125 W
2024-07-07 16:59:54,157 W
2024-07-07 16:59:56,157 W
2024-07-07 16:59:58,139 W
2024-07-07 17:00:00,128 W
2024-07-07 17:00:02,128 W
2024-07-07 17:00:04,144 W
2024-07-07 17:00:06,151 W
2024-07-07 17:00:08,151 W
2024-07-07 17:00:10,113 W
2024-07-07 17:00:12,120 W
2024-07-07 17:00:14,120 W
2024-07-07 17:00:16,186 W
2024-07-07 17:00:18,125 W
2024-07-07 17:00:20,125 W
2024-07-07 17:00:22,120 W
2024-07-07 17:00:24,157 W
2024-07-07 17:00:26,157 W
2024-07-07 17:00:28,137 W
2024-07-07 17:00:30,132 W
2024-07-07 17:00:32,132 W
2024-07-07 17:00:34,143 W
2024-07-07 17:00:36,117 W
2024-07-07 17:00:38,117 W
2024-07-07 17:00:40,120 W
2024-07-07 17:00:42,131 W
2024-07-07 17:00:44,131 W
2024-07-07 17:00:46,184 W
2024-07-07 17:00:48,126 W
2024-07-07 17:00:50,126 W
2024-07-07 17:00:52,128 W
2024-07-07 17:00:54,160 W
2024-07-07 17:00:56,160 W
2024-07-07 17:00:58,137 W
2024-07-07 17:01:00,129 W
2024-07-07 17:01:02,129 W
2024-07-07 17:01:04,145 W
2024-07-07 17:01:06,118 W
2024-07-07 17:01:08,118 W
2024-07-07 17:01:10,115 W
2024-07-07 17:01:12,117 W
2024-07-07 17:01:14,117 W
2024-07-07 17:01:16,193 W
2024-07-07 17:01:18,128 W
2024-07-07 17:01:20,128 W
2024-07-07 17:01:22,121 W
2024-07-07 17:01:24,147 W
2024-07-07 17:01:26,147 W
2024-07-07 17:01:28,139 W
2024-07-07 17:01:30,128 W
2024-07-07 17:01:32,128 W
2024-07-07 17:01:34,151 W
2024-07-07 17:01:36,115 W
2024-07-07 17:01:38,115 W
2024-07-07 17:01:40,121 W
2024-07-07 17:01:42,115 W
2024-07-07 17:01:44,115 W
2024-07-07 17:01:46,187 W
2024-07-07 17:01:48,137 W
2024-07-07 17:01:50,137 W
2024-07-07 17:01:52,125 W
2024-07-07 17:01:54,159 W
2024-07-07 17:01:56,159 W
2024-07-07 17:01:58,136 W
2024-07-07 17:02:00,135 W
2024-07-07 17:02:02,135 W
2024-07-07 17:02:04,143 W
2024-07-07 17:02:06,115 W
2024-07-07 17:02:08,115 W
2024-07-07 17:02:10,113 W
2024-07-07 17:02:12,119 W
2024-07-07 17:02:14,119 W
2024-07-07 17:02:16,185 W
2024-07-07 17:02:18,142 W
2024-07-07 17:02:20,142 W
2024-07-07 17:02:22,123 W
2024-07-07 17:02:24,158 W
2024-07-07 17:02:26,158 W
2024-07-07 17:02:28,138 W
2024-07-07 17:02:30,136 W
2024-07-07 17:02:32,136 W
2024-07-07 17:02:34,147 W
2024-07-07 17:02:36,122 W
2024-07-07 17:02:38,122 W
2024-07-07 17:02:40,114 W
2024-07-07 17:02:42,147 W
2024-07-07 17:02:44,147 W
2024-07-07 17:02:46,192 W
2024-07-07 17:02:48,138 W
2024-07-07 17:02:50,138 W
2024-07-07 17:02:52,130 W
2024-07-07 17:02:54,159 W
2024-07-07 17:02:56,159 W
2024-07-07 17:02:58,150 W
2024-07-07 17:03:00,133 W
2024-07-07 17:03:02,133 W
2024-07-07 17:03:04,187 W
2024-07-07 17:03:06,161 W
2024-07-07 17:03:08,161 W
2024-07-07 17:03:10,117 W
2024-07-07 17:03:12,123 W
2024-07-07 17:03:14,123 W
2024-07-07 17:03:16,166 W
2024-07-07 17:03:18,141 W
2024-07-07 17:03:20,141 W
2024-07-07 17:03:22,125 W
2024-07-07 17:03:24,143 W
2024-07-07 17:03:26,143 W
2024-07-07 17:03:28,139 W
2024-07-07 17:03:30,138 W
2024-07-07 17:03:32,138 W
2024-07-07 17:03:34,155 W
2024-07-07 17:03:36,119 W
2024-07-07 17:03:38,119 W
2024-07-07 17:03:40,117 W
2024-07-07 17:03:42,117 W
2024-07-07 17:03:44,117 W
2024-07-07 17:03:46,184 W
2024-07-07 17:03:48,145 W
2024-07-07 17:03:50,145 W
