"Time","Value"
2024-07-13 14:25:30,207 W
2024-07-13 14:25:45,110 W
2024-07-13 14:26:00,119 W
2024-07-13 14:26:15,109 W
2024-07-13 14:26:30,117 W
2024-07-13 14:26:45,112 W
2024-07-13 14:27:00,112 W
2024-07-13 14:27:15,106 W
2024-07-13 14:27:30,111 W
2024-07-13 14:27:45,112 W
2024-07-13 14:28:00,112 W
2024-07-13 14:28:15,110 W
2024-07-13 14:28:30,110 W
2024-07-13 14:28:45,110 W
2024-07-13 14:29:00,109 W
2024-07-13 14:29:15,109 W
2024-07-13 14:29:30,106 W
2024-07-13 14:29:45,117 W
2024-07-13 14:30:00,106 W
2024-07-13 14:30:15,109 W
2024-07-13 14:30:30,108 W
2024-07-13 14:30:45,176 W
2024-07-13 14:31:00,106 W
2024-07-13 14:31:15,201 W
2024-07-13 14:31:30,189 W
2024-07-13 14:31:45,134 W
2024-07-13 14:32:00,175 W
2024-07-13 14:32:15,156 W
2024-07-13 14:32:30,154 W
2024-07-13 14:32:45,119 W
2024-07-13 14:33:00,153 W
2024-07-13 14:33:15,158 W
2024-07-13 14:33:30,144 W
2024-07-13 14:33:45,137 W
2024-07-13 14:34:00,141 W
2024-07-13 14:34:15,120 W
2024-07-13 14:34:30,141 W
2024-07-13 14:34:45,125 W
2024-07-13 14:35:00,134 W
2024-07-13 14:35:15,131 W
2024-07-13 14:35:30,116 W
2024-07-13 14:35:45,127 W
2024-07-13 14:36:00,126 W
2024-07-13 14:36:15,131 W
2024-07-13 14:36:30,162 W
2024-07-13 14:36:45,126 W
2024-07-13 14:37:00,126 W
2024-07-13 14:37:15,131 W
2024-07-13 14:37:30,135 W
2024-07-13 14:37:45,124 W
2024-07-13 14:38:00,139 W
2024-07-13 14:38:15,124 W
2024-07-13 14:38:30,145 W
2024-07-13 14:38:45,126 W
2024-07-13 14:39:00,115 W
2024-07-13 14:39:15,117 W
2024-07-13 14:39:30,118 W
2024-07-13 14:39:45,152 W
2024-07-13 14:40:00,121 W
2024-07-13 14:40:15,122 W
2024-07-13 14:40:30,129 W
2024-07-13 14:40:45,126 W
2024-07-13 14:41:00,123 W
2024-07-13 14:41:15,128 W
2024-07-13 14:41:30,132 W
2024-07-13 14:41:45,123 W
2024-07-13 14:42:00,148 W
2024-07-13 14:42:15,142 W
2024-07-13 14:42:30,118 W
2024-07-13 14:42:45,128 W
2024-07-13 14:43:00,126 W
2024-07-13 14:43:15,127 W
2024-07-13 14:43:30,118 W
2024-07-13 14:43:45,133 W
2024-07-13 14:44:00,140 W
2024-07-13 14:44:15,127 W
2024-07-13 14:44:30,129 W
2024-07-13 14:44:45,122 W
2024-07-13 14:45:00,138 W
2024-07-13 14:45:15,126 W
2024-07-13 14:45:30,124 W
2024-07-13 14:45:45,122 W
2024-07-13 14:46:00,136 W
2024-07-13 14:46:15,115 W
2024-07-13 14:46:30,126 W
2024-07-13 14:46:45,122 W
2024-07-13 14:47:00,127 W
2024-07-13 14:47:15,126 W
2024-07-13 14:47:30,115 W
2024-07-13 14:47:45,122 W
2024-07-13 14:48:00,126 W
2024-07-13 14:48:15,148 W
2024-07-13 14:48:30,133 W
2024-07-13 14:48:45,138 W
2024-07-13 14:49:00,139 W
2024-07-13 14:49:15,118 W
2024-07-13 14:49:30,123 W
2024-07-13 14:49:45,121 W
2024-07-13 14:50:00,124 W
2024-07-13 14:50:15,122 W
2024-07-13 14:50:30,129 W
2024-07-13 14:50:45,121 W
2024-07-13 14:51:00,125 W
2024-07-13 14:51:15,129 W
2024-07-13 14:51:30,116 W
2024-07-13 14:51:45,119 W
2024-07-13 14:52:00,119 W
