Method,Name,Error,Occurrences
GET,/feedservice/feeds/{user_id},"CatchResponseError('{""timestamp"":""2024-07-15T15:57:37.658+00:00"",""status"":500,""error"":""Internal Server Error"",""path"":""/feedservice/feeds/40234""}')",1
GET,/feedservice/feeds/{user_id},"CatchResponseError('{""timestamp"":""2024-07-15T15:42:48.189+00:00"",""status"":500,""error"":""Internal Server Error"",""path"":""/feedservice/feeds/40264""}')",1
GET,/feedservice/feeds/{user_id},"CatchResponseError('{""timestamp"":""2024-07-15T15:52:35.300+00:00"",""status"":500,""error"":""Internal Server Error"",""path"":""/feedservice/feeds/44543""}')",1
GET,/feedservice/feeds/{user_id},"CatchResponseError('{""timestamp"":""2024-07-15T15:46:25.266+00:00"",""status"":500,""error"":""Internal Server Error"",""path"":""/feedservice/feeds/40565""}')",1
GET,/feedservice/feeds/{user_id},"CatchResponseError('{""timestamp"":""2024-07-15T15:50:24.779+00:00"",""status"":500,""error"":""Internal Server Error"",""path"":""/feedservice/feeds/36558""}')",1
GET,/feedservice/feeds/{user_id},"CatchResponseError('{""timestamp"":""2024-07-15T15:47:24.343+00:00"",""status"":500,""error"":""Internal Server Error"",""path"":""/feedservice/feeds/37787""}')",1
GET,/feedservice/feeds/{user_id},"CatchResponseError('{""timestamp"":""2024-07-15T15:51:37.760+00:00"",""status"":500,""error"":""Internal Server Error"",""path"":""/feedservice/feeds/43350""}')",1
GET,/feedservice/feeds/{user_id},"CatchResponseError('{""timestamp"":""2024-07-15T15:48:33.091+00:00"",""status"":500,""error"":""Internal Server Error"",""path"":""/feedservice/feeds/36580""}')",1
GET,/feedservice/feeds/{user_id},"CatchResponseError('{""timestamp"":""2024-07-15T15:45:15.747+00:00"",""status"":500,""error"":""Internal Server Error"",""path"":""/feedservice/feeds/43052""}')",1
GET,/feedservice/feeds/{user_id},"CatchResponseError('{""timestamp"":""2024-07-15T15:44:22.741+00:00"",""status"":500,""error"":""Internal Server Error"",""path"":""/feedservice/feeds/40267""}')",1
GET,/feedservice/feeds/{user_id},"CatchResponseError('{""timestamp"":""2024-07-15T15:56:46.370+00:00"",""status"":500,""error"":""Internal Server Error"",""path"":""/feedservice/feeds/44706""}')",1
GET,/feedservice/feeds/{user_id},"CatchResponseError('{""timestamp"":""2024-07-15T15:57:46.738+00:00"",""status"":500,""error"":""Internal Server Error"",""path"":""/feedservice/feeds/44222""}')",1
GET,/feedservice/feeds/{user_id},"CatchResponseError('{""timestamp"":""2024-07-15T15:52:34.951+00:00"",""status"":500,""error"":""Internal Server Error"",""path"":""/feedservice/feeds/35419""}')",1
