"Time","Value"
2024-07-15 16:20:00,109 W
2024-07-15 16:20:05,132 W
2024-07-15 16:20:10,175 W
2024-07-15 16:20:15,206 W
2024-07-15 16:20:20,231 W
2024-07-15 16:20:25,280 W
2024-07-15 16:20:30,260 W
2024-07-15 16:20:35,284 W
2024-07-15 16:20:40,289 W
2024-07-15 16:20:45,212 W
2024-07-15 16:20:50,277 W
2024-07-15 16:20:55,262 W
2024-07-15 16:21:00,284 W
2024-07-15 16:21:05,232 W
2024-07-15 16:21:10,286 W
2024-07-15 16:21:15,245 W
2024-07-15 16:21:20,277 W
2024-07-15 16:21:25,275 W
2024-07-15 16:21:30,253 W
2024-07-15 16:21:35,255 W
2024-07-15 16:21:40,294 W
2024-07-15 16:21:45,317 W
2024-07-15 16:21:50,260 W
2024-07-15 16:21:55,235 W
2024-07-15 16:22:00,276 W
2024-07-15 16:22:05,251 W
2024-07-15 16:22:10,262 W
2024-07-15 16:22:15,281 W
2024-07-15 16:22:20,250 W
2024-07-15 16:22:25,255 W
2024-07-15 16:22:30,269 W
2024-07-15 16:22:35,273 W
2024-07-15 16:22:40,281 W
2024-07-15 16:22:45,308 W
2024-07-15 16:22:50,278 W
2024-07-15 16:22:55,273 W
2024-07-15 16:23:00,294 W
2024-07-15 16:23:05,259 W
2024-07-15 16:23:10,289 W
2024-07-15 16:23:15,272 W
2024-07-15 16:23:20,281 W
2024-07-15 16:23:25,293 W
2024-07-15 16:23:30,351 W
2024-07-15 16:23:35,310 W
2024-07-15 16:23:40,277 W
2024-07-15 16:23:45,274 W
2024-07-15 16:23:50,271 W
2024-07-15 16:23:55,303 W
2024-07-15 16:24:00,266 W
2024-07-15 16:24:05,241 W
2024-07-15 16:24:10,266 W
2024-07-15 16:24:15,301 W
2024-07-15 16:24:20,281 W
2024-07-15 16:24:25,307 W
2024-07-15 16:24:30,278 W
2024-07-15 16:24:35,295 W
2024-07-15 16:24:40,254 W
2024-07-15 16:24:45,276 W
2024-07-15 16:24:50,305 W
2024-07-15 16:24:55,274 W
2024-07-15 16:25:00,255 W
2024-07-15 16:25:05,336 W
2024-07-15 16:25:10,302 W
2024-07-15 16:25:15,256 W
2024-07-15 16:25:20,281 W
2024-07-15 16:25:25,278 W
2024-07-15 16:25:30,263 W
2024-07-15 16:25:35,268 W
2024-07-15 16:25:40,263 W
2024-07-15 16:25:45,249 W
2024-07-15 16:25:50,292 W
2024-07-15 16:25:55,260 W
2024-07-15 16:26:00,269 W
2024-07-15 16:26:05,274 W
2024-07-15 16:26:10,270 W
2024-07-15 16:26:15,289 W
2024-07-15 16:26:20,280 W
2024-07-15 16:26:25,277 W
2024-07-15 16:26:30,270 W
2024-07-15 16:26:35,291 W
2024-07-15 16:26:40,292 W
2024-07-15 16:26:45,217 W
2024-07-15 16:26:50,267 W
2024-07-15 16:26:55,282 W
2024-07-15 16:27:00,271 W
2024-07-15 16:27:05,280 W
2024-07-15 16:27:10,279 W
2024-07-15 16:27:15,280 W
2024-07-15 16:27:20,267 W
2024-07-15 16:27:25,275 W
2024-07-15 16:27:30,244 W
2024-07-15 16:27:35,276 W
2024-07-15 16:27:40,299 W
2024-07-15 16:27:45,284 W
2024-07-15 16:27:50,275 W
2024-07-15 16:27:55,281 W
2024-07-15 16:28:00,245 W
2024-07-15 16:28:05,304 W
2024-07-15 16:28:10,302 W
2024-07-15 16:28:15,289 W
2024-07-15 16:28:20,263 W
2024-07-15 16:28:25,276 W
2024-07-15 16:28:30,270 W
2024-07-15 16:28:35,280 W
2024-07-15 16:28:40,281 W
2024-07-15 16:28:45,295 W
2024-07-15 16:28:50,284 W
2024-07-15 16:28:55,263 W
2024-07-15 16:29:00,228 W
2024-07-15 16:29:05,271 W
2024-07-15 16:29:10,304 W
2024-07-15 16:29:15,277 W
2024-07-15 16:29:20,202 W
2024-07-15 16:29:25,198 W
2024-07-15 16:29:30,194 W
2024-07-15 16:29:35,182 W
2024-07-15 16:29:40,179 W
2024-07-15 16:29:45,182 W
2024-07-15 16:29:50,159 W
2024-07-15 16:29:55,171 W
2024-07-15 16:30:00,179 W
2024-07-15 16:30:05,166 W
2024-07-15 16:30:10,260 W
2024-07-15 16:30:15,267 W
2024-07-15 16:30:20,259 W
2024-07-15 16:30:25,287 W
2024-07-15 16:30:30,257 W
2024-07-15 16:30:35,255 W
2024-07-15 16:30:40,267 W
2024-07-15 16:30:45,240 W
2024-07-15 16:30:50,279 W
2024-07-15 16:30:55,264 W
2024-07-15 16:31:00,285 W
2024-07-15 16:31:05,281 W
2024-07-15 16:31:10,272 W
2024-07-15 16:31:15,247 W
2024-07-15 16:31:20,271 W
2024-07-15 16:31:25,281 W
2024-07-15 16:31:30,269 W
2024-07-15 16:31:35,282 W
2024-07-15 16:31:40,264 W
2024-07-15 16:31:45,264 W
2024-07-15 16:31:50,287 W
2024-07-15 16:31:55,281 W
2024-07-15 16:32:00,272 W
2024-07-15 16:32:05,317 W
2024-07-15 16:32:10,297 W
2024-07-15 16:32:15,263 W
2024-07-15 16:32:20,229 W
2024-07-15 16:32:25,254 W
2024-07-15 16:32:30,251 W
2024-07-15 16:32:35,301 W
2024-07-15 16:32:40,271 W
2024-07-15 16:32:45,287 W
2024-07-15 16:32:50,296 W
2024-07-15 16:32:55,244 W
2024-07-15 16:33:00,285 W
2024-07-15 16:33:05,301 W
2024-07-15 16:33:10,308 W
2024-07-15 16:33:15,281 W
2024-07-15 16:33:20,294 W
2024-07-15 16:33:25,283 W
2024-07-15 16:33:30,255 W
2024-07-15 16:33:35,272 W
2024-07-15 16:33:40,286 W
2024-07-15 16:33:45,273 W
2024-07-15 16:33:50,276 W
2024-07-15 16:33:55,272 W
2024-07-15 16:34:00,275 W
2024-07-15 16:34:05,289 W
2024-07-15 16:34:10,278 W
2024-07-15 16:34:15,291 W
2024-07-15 16:34:20,251 W
2024-07-15 16:34:25,259 W
2024-07-15 16:34:30,275 W
2024-07-15 16:34:35,298 W
2024-07-15 16:34:40,274 W
2024-07-15 16:34:45,279 W
2024-07-15 16:34:50,297 W
2024-07-15 16:34:55,263 W
2024-07-15 16:35:00,260 W
2024-07-15 16:35:05,294 W
2024-07-15 16:35:10,267 W
2024-07-15 16:35:15,258 W
2024-07-15 16:35:20,261 W
2024-07-15 16:35:25,274 W
2024-07-15 16:35:30,265 W
2024-07-15 16:35:35,320 W
2024-07-15 16:35:40,265 W
2024-07-15 16:35:45,295 W
2024-07-15 16:35:50,279 W
2024-07-15 16:35:55,262 W
2024-07-15 16:36:00,238 W
2024-07-15 16:36:05,304 W
2024-07-15 16:36:10,283 W
2024-07-15 16:36:15,261 W
2024-07-15 16:36:20,267 W
2024-07-15 16:36:25,273 W
2024-07-15 16:36:30,272 W
2024-07-15 16:36:35,291 W
2024-07-15 16:36:40,254 W
2024-07-15 16:36:45,292 W
2024-07-15 16:36:50,245 W
2024-07-15 16:36:55,282 W
2024-07-15 16:37:00,270 W
2024-07-15 16:37:05,282 W
2024-07-15 16:37:10,264 W
2024-07-15 16:37:15,245 W
2024-07-15 16:37:20,285 W
2024-07-15 16:37:25,271 W
2024-07-15 16:37:30,281 W
2024-07-15 16:37:35,297 W
2024-07-15 16:37:40,294 W
2024-07-15 16:37:45,278 W
2024-07-15 16:37:50,250 W
2024-07-15 16:37:55,276 W
2024-07-15 16:38:00,263 W
2024-07-15 16:38:05,268 W
2024-07-15 16:38:10,273 W
2024-07-15 16:38:15,277 W
2024-07-15 16:38:20,269 W
2024-07-15 16:38:25,277 W
2024-07-15 16:38:30,265 W
2024-07-15 16:38:35,252 W
2024-07-15 16:38:40,261 W
2024-07-15 16:38:45,249 W
2024-07-15 16:38:50,292 W
2024-07-15 16:38:55,284 W
2024-07-15 16:39:00,264 W
2024-07-15 16:39:05,272 W
2024-07-15 16:39:10,287 W
2024-07-15 16:39:15,249 W
2024-07-15 16:39:20,286 W
2024-07-15 16:39:25,272 W
2024-07-15 16:39:30,273 W
2024-07-15 16:39:35,233 W
2024-07-15 16:39:40,295 W
2024-07-15 16:39:45,299 W
2024-07-15 16:39:50,284 W
2024-07-15 16:39:55,258 W
2024-07-15 16:40:00,276 W
2024-07-15 16:40:05,288 W
2024-07-15 16:40:10,277 W
2024-07-15 16:40:15,267 W
2024-07-15 16:40:20,278 W
