"Time","{application=""FEEDSERVICE"", method=""GET"", uri=""/feeds/{userId}""}","{application=""GATEWAY"", method=""GET"", uri=""UNKNOWN""}","{application=""GATEWAY"", method=""POST"", uri=""UNKNOWN""}","{application=""GATEWAY"", method=""PUT"", uri=""NOT_FOUND""}","{application=""GATEWAY"", method=""PUT"", uri=""UNKNOWN""}","{application=""NOTIFICATIONSERVICE"", method=""GET"", uri=""/notifications""}","{application=""NOTIFICATIONSERVICE"", method=""POST"", uri=""/notifications/count""}","{application=""NOTIFICATIONSERVICE"", method=""POST"", uri=""/notifications/{id}""}","{application=""POSTSERVICE"", method=""GET"", uri=""/categories""}","{application=""POSTSERVICE"", method=""GET"", uri=""/posts""}","{application=""POSTSERVICE"", method=""GET"", uri=""/posts/{id}""}","{application=""POSTSERVICE"", method=""GET"", uri=""/posts/{id}/image""}","{application=""POSTSERVICE"", method=""POST"", uri=""/posts""}","{application=""POSTSERVICE"", method=""POST"", uri=""/posts/{id}/comments""}","{application=""POSTSERVICE"", method=""POST"", uri=""/posts/{id}/like""}","{application=""STATISTICSERVICE"", method=""GET"", uri=""/trends/categories""}","{application=""STATISTICSERVICE"", method=""GET"", uri=""/trends/posts""}","{application=""STATISTICSERVICE"", method=""GET"", uri=""/trends/users""}","{application=""USERSERVICE"", method=""GET"", uri=""/users/{id}""}","{application=""USERSERVICE"", method=""GET"", uri=""/users/{id}/followers""}","{application=""USERSERVICE"", method=""POST"", uri=""/users""}","{application=""USERSERVICE"", method=""POST"", uri=""/users/search""}","{application=""USERSERVICE"", method=""PUT"", uri=""/users/{id}""}","{application=""USERSERVICE"", method=""PUT"", uri=""/users/{id}/follow""}"
2024-07-15 10:20:00,473 ms,321 ms,288 ms,,,,,,NaN,6.68 ms,,,,,,14.2 ms,6.52 ms,9.24 ms,,,25.1 ms,,,21.5 ms
2024-07-15 10:20:30,408 ms,166 ms,48.1 ms,,23.7 ms,8.56 ms,7.07 ms,NaN,10.9 ms,5.70 ms,4.19 ms,10.3 ms,53.1 ms,37.1 ms,22.0 ms,17.9 ms,8.50 ms,14.9 ms,8.78 ms,14.3 ms,15.6 ms,7.17 ms,21.6 ms,19.4 ms
2024-07-15 10:21:00,390 ms,167 ms,51.1 ms,,24.8 ms,8.10 ms,6.34 ms,NaN,11.4 ms,5.90 ms,4.23 ms,10.7 ms,52.9 ms,31.5 ms,22.1 ms,17.4 ms,8.63 ms,13.7 ms,8.81 ms,14.3 ms,15.2 ms,7.24 ms,25.0 ms,17.6 ms
2024-07-15 10:21:30,364 ms,151 ms,51.1 ms,,23.2 ms,7.87 ms,6.35 ms,12.1 ms,10.3 ms,4.99 ms,3.16 ms,10.7 ms,57.4 ms,35.3 ms,20.3 ms,15.6 ms,8.29 ms,13.5 ms,9.30 ms,13.0 ms,17.0 ms,7.35 ms,22.0 ms,16.5 ms
2024-07-15 10:22:00,300 ms,126 ms,43.9 ms,,24.0 ms,7.10 ms,5.56 ms,19.9 ms,8.12 ms,5.89 ms,2.48 ms,8.85 ms,58.7 ms,34.3 ms,28.2 ms,9.09 ms,7.05 ms,8.26 ms,6.90 ms,10.4 ms,21.5 ms,7.01 ms,24.2 ms,17.7 ms
2024-07-15 10:22:30,292 ms,120 ms,37.1 ms,NaN,23.0 ms,5.80 ms,5.18 ms,21.2 ms,8.26 ms,6.32 ms,2.20 ms,7.92 ms,56.6 ms,32.2 ms,25.3 ms,8.13 ms,6.55 ms,7.10 ms,5.56 ms,13.2 ms,18.7 ms,6.09 ms,23.0 ms,17.9 ms
2024-07-15 10:23:00,266 ms,110 ms,32.9 ms,8.30 ms,21.3 ms,6.01 ms,4.72 ms,20.4 ms,8.45 ms,5.65 ms,2.14 ms,7.24 ms,53.9 ms,30.6 ms,25.6 ms,8.36 ms,6.89 ms,7.53 ms,4.82 ms,18.9 ms,17.5 ms,5.83 ms,21.5 ms,17.1 ms
2024-07-15 10:23:30,251 ms,109 ms,31.2 ms,8.30 ms,20.7 ms,5.41 ms,4.36 ms,20.0 ms,9.71 ms,5.38 ms,2.31 ms,7.88 ms,51.9 ms,31.1 ms,25.6 ms,9.25 ms,7.55 ms,8.53 ms,4.41 ms,18.5 ms,17.3 ms,6.01 ms,20.8 ms,17.0 ms
2024-07-15 10:24:00,249 ms,106 ms,29.8 ms,7.16 ms,20.8 ms,5.20 ms,4.14 ms,20.0 ms,10.1 ms,5.20 ms,2.39 ms,7.94 ms,52.1 ms,30.1 ms,25.5 ms,9.61 ms,8.46 ms,9.29 ms,4.14 ms,17.1 ms,17.0 ms,6.12 ms,20.2 ms,17.4 ms
2024-07-15 10:24:30,248 ms,105 ms,29.1 ms,8.08 ms,21.7 ms,4.91 ms,3.96 ms,19.4 ms,10.7 ms,5.07 ms,2.46 ms,8.20 ms,52.2 ms,30.5 ms,26.0 ms,9.84 ms,8.93 ms,9.98 ms,3.98 ms,16.3 ms,18.1 ms,6.42 ms,20.5 ms,18.5 ms
2024-07-15 10:25:00,246 ms,104 ms,28.2 ms,8.08 ms,22.2 ms,4.48 ms,3.87 ms,18.9 ms,11.3 ms,4.98 ms,2.51 ms,8.05 ms,53.0 ms,31.3 ms,25.7 ms,9.99 ms,9.55 ms,10.5 ms,3.71 ms,15.5 ms,18.5 ms,6.19 ms,21.2 ms,19.1 ms
2024-07-15 10:25:30,245 ms,103 ms,28.0 ms,8.08 ms,22.5 ms,4.30 ms,3.76 ms,17.8 ms,12.0 ms,4.96 ms,2.58 ms,8.29 ms,53.4 ms,31.7 ms,26.6 ms,10.3 ms,9.88 ms,11.0 ms,3.59 ms,15.6 ms,19.1 ms,6.12 ms,21.4 ms,19.6 ms
2024-07-15 10:26:00,245 ms,102 ms,27.2 ms,8.08 ms,22.2 ms,4.20 ms,3.72 ms,17.6 ms,12.9 ms,4.91 ms,2.62 ms,8.26 ms,52.4 ms,31.3 ms,26.5 ms,10.7 ms,10.2 ms,11.5 ms,3.51 ms,15.9 ms,18.3 ms,6.42 ms,20.8 ms,19.4 ms
2024-07-15 10:26:30,243 ms,99.8 ms,25.5 ms,8.08 ms,22.0 ms,3.99 ms,3.56 ms,17.7 ms,13.7 ms,4.82 ms,2.62 ms,8.27 ms,50.6 ms,30.1 ms,25.9 ms,11.2 ms,10.5 ms,12.2 ms,3.22 ms,16.2 ms,18.0 ms,6.21 ms,20.3 ms,19.5 ms
2024-07-15 10:27:00,239 ms,97.7 ms,24.7 ms,8.07 ms,22.2 ms,3.80 ms,3.38 ms,17.6 ms,15.2 ms,4.55 ms,2.73 ms,8.57 ms,50.1 ms,31.2 ms,25.4 ms,12.1 ms,11.3 ms,13.3 ms,3.03 ms,16.6 ms,18.0 ms,6.65 ms,19.4 ms,20.0 ms
2024-07-15 10:27:30,240 ms,98.9 ms,24.7 ms,8.07 ms,22.6 ms,3.60 ms,3.33 ms,17.1 ms,16.2 ms,4.57 ms,2.83 ms,8.84 ms,51.0 ms,31.4 ms,26.3 ms,13.2 ms,12.2 ms,14.7 ms,2.95 ms,15.9 ms,18.2 ms,7.11 ms,19.9 ms,20.6 ms
2024-07-15 10:28:00,246 ms,98.0 ms,24.4 ms,7.96 ms,23.4 ms,3.48 ms,3.30 ms,17.1 ms,17.1 ms,4.60 ms,2.90 ms,9.05 ms,51.2 ms,31.7 ms,25.5 ms,14.1 ms,13.0 ms,15.7 ms,2.94 ms,14.5 ms,19.2 ms,7.33 ms,20.2 ms,21.4 ms
