"Time","{container=""feedservice""}","{container=""feedservice-db""}","{container=""gateway""}","{container=""grafana""}","{container=""notificationservice""}","{container=""notificationservice-db""}","{container=""postservice""}","{container=""postservice-db""}","{container=""prometheus""}","{container=""rabbitmq""}","{container=""redis""}","{container=""servicediscovery""}","{container=""snmp-exporter""}","{container=""statisticservice""}","{container=""statisticservice-db""}","{container=""userservice""}","{container=""userservice-db""}","{container=""zipkin""}"
2024-07-15 07:04:00,2,1,2,1,2,1,2,1,1,1,1,1,1,0,1,0,1,
2024-07-15 07:05:00,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 07:06:00,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 07:07:00,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 07:08:00,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 07:09:00,2,1,2,1,2,1,4,1,1,1,1,1,1,3,1,2,1,1
2024-07-15 07:10:00,3,1,2,1,2,1,4,1,1,1,1,1,1,3,1,2,1,1
2024-07-15 07:11:00,3,1,2,1,2,1,4,1,1,1,1,1,1,3,1,2,1,1
2024-07-15 07:12:00,3,1,2,1,2,1,4,1,1,1,1,1,1,3,1,2,1,1
2024-07-15 07:13:00,3,1,2,1,2,1,4,1,1,1,1,1,1,3,1,2,1,1
2024-07-15 07:14:00,3,1,2,1,2,1,4,1,1,1,1,1,1,3,1,2,1,1
2024-07-15 07:15:00,3,1,2,1,2,1,4,1,1,1,1,1,1,3,1,2,1,1
2024-07-15 07:16:00,2,1,2,1,2,1,3,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 07:17:00,2,1,2,1,2,1,3,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 07:18:00,2,1,2,1,2,1,3,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 07:19:00,2,1,2,1,2,1,3,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 07:20:00,2,1,2,1,2,1,3,1,1,1,1,1,1,2,1,2,1,0
2024-07-15 07:21:00,2,1,2,1,2,1,3,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 07:22:00,2,1,2,1,2,1,3,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 07:23:00,2,1,2,1,2,1,3,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 07:24:00,2,1,2,1,2,1,3,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 07:25:00,2,1,2,1,2,1,3,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 07:26:00,2,1,2,1,2,1,3,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 07:27:00,2,1,2,1,2,1,3,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 07:28:00,2,1,2,1,2,1,3,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 07:29:00,2,1,2,1,2,1,4,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 07:30:00,2,1,2,1,2,1,7,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 07:31:00,2,1,2,1,2,1,7,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 07:32:00,2,1,2,1,2,1,8,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 07:33:00,2,1,2,1,2,1,8,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 07:34:00,2,1,2,1,2,1,8,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 07:35:00,2,1,2,1,2,1,8,1,1,1,1,1,1,2,1,2,1,0
2024-07-15 07:36:00,2,1,2,1,2,1,8,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 07:37:00,2,1,2,1,2,1,8,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 07:38:00,2,1,2,1,2,1,7,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 07:39:00,2,1,2,1,2,1,6,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 07:40:00,2,1,2,1,2,1,6,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 07:41:00,2,1,2,1,2,1,6,1,1,1,1,1,1,2,1,2,1,0
2024-07-15 07:42:00,2,1,2,1,2,1,5,1,1,1,1,1,1,2,1,2,1,0
2024-07-15 07:43:00,2,1,2,1,2,1,5,1,1,1,1,1,1,2,1,2,1,0
2024-07-15 07:44:00,0,,,,,,,,,,1,1,1,2,1,2,1,1
2024-07-15 08:23:00,2,1,0,1,0,1,0,1,,,,,,,,,,
2024-07-15 08:24:00,2,1,2,1,2,1,2,1,1,1,1,1,1,0,1,0,1,1
2024-07-15 08:25:00,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 08:26:00,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 08:27:00,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 08:28:00,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 08:29:00,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 08:30:00,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1
2024-07-15 08:31:00,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1
