Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1720366947,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1720366948,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1720366949,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1720366950,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1720366951,10,,Aggregated,0.000000,0.000000,330,330,340,340,340,340,340,340,340,340,340,3,0,330.0,300.33820299953123,231.45888699946227,337.2120120002364,166.0
1720366952,15,,Aggregated,0.000000,0.000000,330,330,340,340,430,430,430,430,430,430,430,6,0,230.0,265.6968023329682,91.72619300079532,432.8926689995569,149.0
1720366953,20,,Aggregated,0.000000,0.000000,330,330,340,340,430,430,430,430,430,430,430,6,0,230.0,265.6968023329682,91.72619300079532,432.8926689995569,149.0
1720366954,25,,Aggregated,2.500000,0.000000,180,270,290,330,340,430,430,430,430,430,430,19,0,180.0,205.3264173683649,65.95708100030606,432.8926689995569,208.3684210526316
1720366955,30,,Aggregated,4.750000,0.000000,170,270,330,340,660,1700,3100,3100,3100,3100,3100,31,0,170.0,357.3778178387945,65.95708100030606,3141.2337880010455,1208.2903225806451
1720366956,35,,Aggregated,4.750000,0.000000,170,270,330,340,660,1700,3100,3100,3100,3100,3100,31,0,170.0,357.3778178387945,65.95708100030606,3141.2337880010455,1208.2903225806451
1720366957,40,,Aggregated,5.500000,0.000000,150,220,330,370,1600,2100,3100,3500,3500,3500,3500,63,0,150.0,438.59132417474893,51.883885000279406,3549.050288998842,1786.6984126984128
1720366958,45,,Aggregated,7.714286,0.000000,140,220,290,370,900,2100,3100,3500,3500,3500,3500,81,0,140.0,420.09687318523555,50.04480599927774,3549.050288998842,2170.382716049383
1720366959,50,,Aggregated,7.714286,0.000000,140,220,290,370,900,2100,3100,3500,3500,3500,3500,81,0,140.0,420.09687318523555,50.04480599927774,3549.050288998842,2170.382716049383
1720366960,59,,Aggregated,9.777778,0.000000,130,210,270,340,740,1800,2900,3100,3500,3500,3500,113,0,130.0,354.5940300177267,47.57157099993492,3549.050288998842,2725.9557522123896
1720366961,62,,Aggregated,10.600000,0.000000,120,170,240,290,710,1600,2900,3100,3500,3500,3500,143,0,120.0,313.11909113991805,47.57157099993492,3549.050288998842,3051.622377622378
1720366962,70,,Aggregated,13.100000,0.000000,120,170,240,290,710,1600,2500,3100,3500,3500,3500,158,0,120.0,304.14658238614606,47.57157099993492,3549.050288998842,3486.3924050632913
1720366963,71,,Aggregated,14.800000,0.000000,120,160,240,280,710,900,2500,3100,3500,3500,3500,187,0,120.0,287.393307887754,47.57157099993492,3549.050288998842,3868.9732620320856
1720366964,79,,Aggregated,16.500000,0.000000,120,160,220,280,680,900,2100,2900,3500,3500,3500,214,0,120.0,278.0642202757586,47.57157099993492,3549.050288998842,3574.285046728972
1720366965,85,,Aggregated,18.000000,0.000000,120,170,240,290,740,820,2100,2900,3500,3500,3500,233,0,120.0,279.64329846356685,47.57157099993492,3549.050288998842,4573.5751072961375
1720366966,90,,Aggregated,20.200000,0.000000,120,160,240,310,720,810,1800,2900,3500,3500,3500,268,0,120.0,273.07017037315717,44.07163399991987,3549.050288998842,6541.149253731343
1720366967,95,,Aggregated,22.300000,0.000000,110,160,230,270,690,800,1700,2500,3500,3500,3500,307,0,110.0,258.13253211730125,44.07163399991987,3549.050288998842,7332.368078175896
1720366968,100,,Aggregated,23.300000,0.000000,110,160,230,270,680,800,1700,2500,3500,3500,3500,330,0,110.0,251.37389904548675,44.07163399991987,3549.050288998842,7470.860606060606
1720366969,100,,Aggregated,0.000000,0.000000,150,160,200,200,310,310,310,310,310,310,310,7,0,150.0,161.7792767137871,58.39589300012449,307.49578599898086,11420.857142857143
1720366970,100,,Aggregated,2.000000,0.000000,100,120,140,160,200,310,320,320,320,320,320,30,0,100.0,114.65755446661205,51.05942599948321,320.3544799998781,14865.133333333333
1720366971,100,,Aggregated,5.500000,0.000000,100,140,170,200,370,410,510,660,660,660,660,56,0,100.0,148.34597205361075,49.292040999716846,661.2290949997259,16753.410714285714
1720366972,100,,Aggregated,14.000000,0.000000,100,160,200,250,370,510,1200,3300,3300,3300,3300,94,0,100.0,197.04265682983223,49.292040999716846,3307.12898999991,23802.106382978724
1720366973,100,,Aggregated,21.500000,0.000000,110,150,200,250,380,640,1800,1900,3300,3300,3300,137,0,110.0,210.054481240893,42.95223699955386,3307.12898999991,18561.218978102188
1720366974,100,,Aggregated,23.800000,0.000000,110,150,200,260,390,510,1200,1900,3300,3300,3300,162,0,100.0,204.28969975310557,42.95223699955386,3307.12898999991,17249.4012345679
1720366975,100,,Aggregated,25.666667,0.000000,100,140,210,260,380,470,820,1800,3300,3300,3300,205,0,100.0,192.07519754151977,42.95223699955386,3307.12898999991,15211.49268292683
1720366976,100,,Aggregated,26.428571,0.000000,100,140,200,250,380,460,820,1800,3300,3300,3300,250,0,99,183.02806311206223,42.95223699955386,3307.12898999991,14670.392
